"month","day","hour","daypart","season1","good_weather","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count"
"January","Sunday",23,"5","1","1","1","0","0","1",9.02,11.365,47,11.0014,8
"January","Monday",0,"1","1","1","1","0","1","1",9.02,9.85,44,23.9994,5
"January","Monday",1,"1","1","1","1","0","1","1",8.2,8.335,44,27.9993,2
"January","Monday",4,"1","1","1","1","0","1","1",6.56,6.82,47,26.0027,1
"January","Monday",5,"1","1","1","1","0","1","1",6.56,6.82,47,19.0012,3
"January","Monday",6,"1","1","1","1","0","1","1",5.74,5.305,50,26.0027,30
"January","Monday",7,"2","1","1","1","0","1","1",5.74,6.82,50,12.998,64
"January","Monday",8,"2","1","1","1","0","1","1",5.74,6.06,50,19.0012,154
"January","Monday",9,"2","1","1","1","0","1","1",6.56,6.82,43,26.0027,88
"January","Monday",10,"2","1","1","1","0","1","1",7.38,8.335,43,16.9979,44
"January","Monday",11,"3","1","1","1","0","1","1",8.2,9.09,40,22.0028,51
"January","Monday",12,"3","1","1","1","0","1","1",9.02,10.605,35,19.9995,61
"January","Monday",13,"3","1","1","1","0","1","1",9.84,10.605,35,19.0012,61
"January","Monday",14,"3","1","1","1","0","1","1",10.66,12.12,30,19.0012,77
"January","Monday",15,"3","1","1","1","0","1","1",10.66,12.12,30,16.9979,72
"January","Monday",16,"4","1","1","1","0","1","1",10.66,12.12,30,16.9979,76
"January","Monday",17,"4","1","1","1","0","1","1",9.84,11.365,30,15.0013,157
"January","Monday",18,"4","1","1","1","0","1","1",9.84,12.88,32,7.0015,157
"January","Monday",19,"4","1","1","1","0","1","1",8.2,12.88,47,0,110
"January","Monday",20,"4","1","1","1","0","1","1",8.2,11.365,47,7.0015,52
"January","Monday",21,"5","1","1","1","0","1","1",7.38,9.85,64,8.9981,52
"January","Monday",22,"5","1","1","1","0","1","1",5.74,7.575,69,8.9981,20
"January","Monday",23,"5","1","1","1","0","1","1",7.38,10.605,55,7.0015,12
"January","Tuesday",0,"1","1","1","1","0","1","1",6.56,9.09,55,7.0015,5
"January","Tuesday",1,"1","1","1","1","0","1","1",6.56,9.09,59,7.0015,2
"January","Tuesday",2,"1","1","1","1","0","1","1",5.74,7.575,63,8.9981,1
"January","Tuesday",4,"1","1","1","1","0","1","1",5.74,9.09,63,6.0032,2
"January","Tuesday",5,"1","1","1","1","0","1","1",4.92,7.575,68,7.0015,4
"January","Tuesday",6,"1","1","1","1","0","1","1",4.92,7.575,74,7.0015,36
"January","Tuesday",7,"2","1","1","1","0","1","1",4.92,7.575,74,8.9981,94
"January","Tuesday",8,"2","1","1","1","0","1","1",5.74,7.575,69,11.0014,179
"January","Tuesday",9,"2","1","1","1","0","1","1",6.56,7.575,64,15.0013,100
"January","Tuesday",10,"2","1","1","1","0","1","2",6.56,6.82,69,22.0028,42
"January","Tuesday",11,"3","1","1","1","0","1","1",9.02,10.605,51,19.9995,57
"January","Tuesday",12,"3","1","1","1","0","1","1",9.02,11.365,51,11.0014,78
"January","Tuesday",13,"3","1","1","1","0","1","1",9.84,11.365,56,12.998,97
"January","Tuesday",14,"3","1","1","1","0","1","1",10.66,12.88,52,15.0013,63
"January","Tuesday",15,"3","1","1","1","0","1","1",11.48,13.635,52,16.9979,65
"January","Tuesday",16,"4","1","1","1","0","1","1",12.3,14.395,49,16.9979,83
"January","Tuesday",17,"4","1","1","1","0","1","1",11.48,13.635,48,15.0013,212
"January","Tuesday",18,"4","1","1","1","0","1","1",10.66,12.88,48,12.998,182
"January","Tuesday",19,"4","1","1","1","0","1","1",9.84,12.88,48,7.0015,112
"January","Tuesday",20,"4","1","1","1","0","1","1",9.84,12.88,48,7.0015,54
"January","Tuesday",21,"5","1","1","1","0","1","1",9.02,13.635,64,0,48
"January","Tuesday",22,"5","1","1","1","0","1","1",9.02,12.88,64,6.0032,35
"January","Tuesday",23,"5","1","1","1","0","1","1",8.2,11.365,69,6.0032,11
"January","Wednesday",0,"1","1","1","1","0","1","1",8.2,12.88,64,0,6
"January","Wednesday",1,"1","1","1","1","0","1","1",6.56,9.85,74,6.0032,6
"January","Wednesday",2,"1","1","1","1","0","1","1",6.56,9.85,74,6.0032,2
"January","Wednesday",4,"1","1","1","1","0","1","1",9.84,11.365,48,15.0013,2
"January","Wednesday",5,"1","1","1","1","0","1","1",9.02,11.365,47,11.0014,3
"January","Wednesday",6,"1","1","1","1","0","1","1",8.2,9.85,47,15.0013,33
"January","Wednesday",7,"2","1","1","1","0","1","1",7.38,9.09,43,12.998,88
"January","Wednesday",8,"2","1","1","1","0","1","1",8.2,9.09,40,19.9995,195
"January","Wednesday",9,"2","1","1","1","0","1","1",9.02,9.85,37,22.0028,115
"January","Wednesday",10,"2","1","1","1","0","1","1",9.02,9.85,37,22.0028,57
"January","Wednesday",11,"3","1","1","1","0","1","1",10.66,11.365,33,22.0028,46
"January","Wednesday",12,"3","1","1","1","0","1","1",10.66,11.365,33,22.0028,79
"January","Wednesday",13,"3","1","1","1","0","1","1",11.48,12.88,30,19.9995,71
"January","Wednesday",14,"3","1","1","1","0","1","1",12.3,14.395,28,12.998,62
"January","Wednesday",15,"3","1","1","1","0","1","1",12.3,14.395,28,12.998,62
"January","Wednesday",16,"4","1","1","1","0","1","1",12.3,15.91,28,6.0032,89
"January","Wednesday",17,"4","1","1","1","0","1","1",9.84,11.365,38,12.998,190
"January","Wednesday",18,"4","1","1","1","0","1","1",9.84,12.12,38,8.9981,169
"January","Wednesday",19,"4","1","1","1","0","1","1",9.84,12.88,38,7.0015,132
"January","Wednesday",20,"4","1","1","1","0","1","1",9.02,11.365,47,11.0014,89
"January","Wednesday",21,"5","1","1","1","0","1","1",8.2,9.85,51,12.998,43
"January","Wednesday",22,"5","1","1","1","0","1","1",7.38,9.85,55,8.9981,42
"January","Wednesday",23,"5","1","1","1","0","1","1",8.2,12.88,47,0,19
"January","Thursday",0,"1","1","1","1","0","1","1",7.38,12.12,55,0,11
"January","Thursday",1,"1","1","1","1","0","1","1",6.56,11.365,64,0,4
"January","Thursday",2,"1","1","1","1","0","1","1",6.56,11.365,64,0,2
"January","Thursday",4,"1","1","1","1","0","1","2",6.56,9.85,64,6.0032,1
"January","Thursday",5,"1","1","1","1","0","1","2",5.74,9.09,69,6.0032,4
"January","Thursday",6,"1","1","1","1","0","1","2",5.74,8.335,63,7.0015,36
"January","Thursday",7,"2","1","1","1","0","1","2",6.56,11.365,59,0,95
"January","Thursday",8,"2","1","1","1","0","1","1",6.56,11.365,59,0,219
"January","Thursday",9,"2","1","1","1","0","1","2",7.38,12.12,51,0,122
"January","Thursday",10,"2","1","1","1","0","1","1",8.2,12.88,47,0,45
"January","Thursday",11,"3","1","1","1","0","1","1",9.02,12.88,44,6.0032,59
"January","Thursday",12,"3","1","1","1","0","1","1",10.66,14.395,35,0,84
"January","Thursday",13,"3","1","1","1","0","1","1",10.66,13.635,35,7.0015,67
"January","Thursday",14,"3","1","1","1","0","1","1",11.48,13.635,36,11.0014,70
"January","Thursday",15,"3","1","1","1","0","1","1",11.48,13.635,36,0,62
"January","Thursday",16,"4","1","1","1","0","1","1",10.66,12.88,38,11.0014,86
"January","Thursday",17,"4","1","1","1","0","1","1",9.02,11.365,51,11.0014,172
"January","Thursday",18,"4","1","1","1","0","1","1",9.02,11.365,51,8.9981,163
"January","Thursday",19,"4","1","1","1","0","1","1",9.02,12.88,55,6.0032,112
"January","Thursday",20,"4","1","1","1","0","1","1",8.2,10.605,51,11.0014,69
"January","Thursday",21,"5","1","1","1","0","1","2",9.02,10.605,55,15.0013,48
"January","Thursday",22,"5","1","1","1","0","1","2",9.02,10.605,51,19.0012,52
"January","Thursday",23,"5","1","1","1","0","1","2",8.2,9.85,59,12.998,23
"January","Friday",0,"1","1","1","1","0","1","2",8.2,9.85,64,12.998,17
"January","Friday",1,"1","1","1","1","0","1","2",8.2,9.85,69,15.0013,7
"January","Friday",2,"1","1","1","1","0","1","2",8.2,9.85,69,15.0013,1
"January","Friday",4,"1","1","1","1","0","1","2",8.2,10.605,69,8.9981,1
"January","Friday",5,"1","1","0","1","0","1","3",9.02,13.635,55,0,5
"January","Friday",6,"1","1","1","1","0","1","2",8.2,12.88,69,0,34
"January","Friday",7,"2","1","1","1","0","1","1",8.2,10.605,69,8.9981,84
"January","Friday",8,"2","1","1","1","0","1","1",8.2,9.85,51,16.9979,210
"January","Friday",9,"2","1","1","1","0","1","1",8.2,9.09,47,19.9995,134
"January","Friday",10,"2","1","1","1","0","1","1",9.02,9.85,37,22.0028,63
"January","Friday",11,"3","1","1","1","0","1","2",8.2,9.85,40,15.0013,67
"January","Friday",12,"3","1","1","1","0","1","2",8.2,9.85,37,16.9979,59
"January","Friday",13,"3","1","1","1","0","1","2",8.2,9.09,37,19.0012,73
"January","Friday",14,"3","1","1","1","0","1","2",8.2,9.85,40,16.9979,50
"January","Friday",15,"3","1","1","1","0","1","2",8.2,10.605,37,11.0014,72
"January","Friday",16,"4","1","1","1","0","1","2",8.2,10.605,37,11.0014,87
"January","Friday",17,"4","1","1","1","0","1","2",8.2,12.88,37,0,187
"January","Friday",18,"4","1","1","1","0","1","1",8.2,11.365,40,6.0032,123
"January","Friday",19,"4","1","1","1","0","1","1",6.56,9.85,55,6.0032,95
"January","Friday",20,"4","1","1","1","0","1","1",7.38,10.605,47,7.0015,51
"January","Friday",21,"5","1","1","1","0","1","1",7.38,9.85,47,8.9981,39
"January","Friday",22,"5","1","1","1","0","1","2",7.38,9.85,43,11.0014,36
"January","Friday",23,"5","1","1","1","0","1","2",7.38,9.85,51,11.0014,15
"January","Saturday",0,"1","1","1","1","0","0","2",7.38,9.85,51,11.0014,25
"January","Saturday",1,"1","1","1","1","0","0","2",7.38,10.605,55,6.0032,16
"January","Saturday",2,"1","1","1","1","0","0","2",7.38,12.12,55,0,16
"January","Saturday",3,"1","1","0","1","0","0","3",7.38,9.85,55,11.0014,7
"January","Saturday",4,"1","1","0","1","0","0","3",7.38,9.85,55,11.0014,1
"January","Saturday",5,"1","1","1","1","0","0","2",6.56,8.335,74,11.0014,5
"January","Saturday",6,"1","1","1","1","0","0","2",6.56,8.335,74,11.0014,2
"January","Saturday",7,"2","1","1","1","0","0","2",6.56,9.09,74,7.0015,9
"January","Saturday",8,"2","1","0","1","0","0","3",6.56,9.09,93,7.0015,15
"January","Saturday",9,"2","1","0","1","0","0","3",6.56,9.09,93,7.0015,20
"January","Saturday",10,"2","1","1","1","0","0","2",7.38,9.85,80,11.0014,61
"January","Saturday",11,"3","1","1","1","0","0","2",8.2,9.09,69,26.0027,62
"January","Saturday",12,"3","1","1","1","0","0","2",8.2,9.09,59,23.9994,98
"January","Saturday",13,"3","1","1","1","0","0","1",8.2,9.09,44,22.0028,102
"January","Saturday",14,"3","1","1","1","0","0","1",8.2,8.335,32,32.9975,95
"January","Saturday",15,"3","1","1","1","0","0","1",8.2,8.335,32,30.0026,74
"January","Saturday",16,"4","1","1","1","0","0","1",7.38,6.82,29,30.0026,76
"January","Saturday",17,"4","1","1","1","0","0","1",6.56,6.06,37,36.9974,69
"January","Saturday",18,"4","1","1","1","0","0","1",5.74,6.06,39,19.9995,55
"January","Saturday",19,"4","1","1","1","0","0","1",5.74,6.06,36,16.9979,30
"January","Saturday",20,"4","1","1","1","0","0","1",4.92,6.06,36,16.9979,28
"January","Saturday",21,"5","1","1","1","0","0","1",4.92,5.305,39,23.9994,37
"January","Saturday",22,"5","1","1","1","0","0","1",4.92,5.305,36,26.0027,34
"January","Saturday",23,"5","1","1","1","0","0","1",4.1,3.03,39,30.0026,22
"January","Sunday",0,"1","1","1","1","0","0","1",4.1,3.79,42,26.0027,25
"January","Sunday",1,"1","1","1","1","0","0","1",4.1,3.03,42,31.0009,12
"January","Sunday",2,"1","1","1","1","0","0","1",4.1,3.03,46,31.0009,11
"January","Sunday",3,"1","1","1","1","0","0","1",4.1,3.79,46,27.9993,4
"January","Sunday",4,"1","1","1","1","0","0","1",3.28,4.545,53,12.998,1
"January","Sunday",5,"1","1","1","1","0","0","1",3.28,4.545,53,12.998,1
"January","Sunday",6,"1","1","1","1","0","0","1",4.1,4.545,49,19.0012,1
"January","Sunday",7,"2","1","1","1","0","0","1",3.28,4.545,53,12.998,6
"January","Sunday",8,"2","1","1","1","0","0","1",4.1,4.545,49,19.0012,10
"January","Sunday",9,"2","1","1","1","0","0","1",4.92,3.79,46,35.0008,19
"January","Sunday",10,"2","1","1","1","0","0","1",5.74,5.305,43,26.0027,49
"January","Sunday",11,"3","1","1","1","0","0","1",6.56,6.06,40,35.0008,49
"January","Sunday",12,"3","1","1","1","0","0","1",7.38,6.82,37,30.0026,83
"January","Sunday",13,"3","1","1","1","0","0","1",8.2,8.335,34,30.0026,75
"January","Sunday",14,"3","1","1","1","0","0","1",9.02,9.09,32,31.0009,72
"January","Sunday",15,"3","1","1","1","0","0","1",9.02,9.85,35,23.9994,82
"January","Sunday",16,"4","1","1","1","0","0","1",8.2,8.335,34,30.0026,92
"January","Sunday",17,"4","1","1","1","0","0","1",7.38,7.575,37,26.0027,62
"January","Sunday",18,"4","1","1","1","0","0","1",6.56,6.82,40,22.0028,48
"January","Sunday",19,"4","1","1","1","0","0","1",6.56,6.82,43,22.0028,41
"January","Sunday",20,"4","1","1","1","0","0","1",5.74,6.06,46,16.9979,38
"January","Sunday",21,"5","1","1","1","0","0","1",5.74,5.305,46,27.9993,20
"January","Sunday",22,"5","1","1","1","0","0","1",5.74,6.06,46,19.9995,15
"January","Sunday",23,"5","1","1","1","0","0","1",4.92,6.82,50,12.998,6
"January","Monday",0,"1","1","1","1","0","1","1",4.92,6.06,50,19.0012,5
"January","Monday",1,"1","1","1","1","0","1","1",4.92,6.06,50,19.0012,1
"January","Monday",2,"1","1","1","1","0","1","1",4.92,6.06,50,15.0013,3
"January","Monday",3,"1","1","1","1","0","1","1",4.92,6.06,50,15.0013,1
"January","Monday",4,"1","1","1","1","0","1","1",4.1,6.06,54,8.9981,3
"January","Monday",5,"1","1","1","1","0","1","1",4.1,5.305,54,16.9979,3
"January","Monday",6,"1","1","1","1","0","1","1",4.92,6.06,50,19.0012,31
"January","Monday",7,"2","1","1","1","0","1","1",4.92,6.06,50,15.0013,77
"January","Monday",8,"2","1","1","1","0","1","2",4.92,6.06,50,19.0012,188
"January","Monday",9,"2","1","1","1","0","1","2",5.74,6.06,50,16.9979,94
"January","Monday",10,"2","1","1","1","0","1","2",5.74,6.06,50,19.9995,31
"January","Monday",11,"3","1","1","1","0","1","2",6.56,6.82,47,19.0012,30
"January","Monday",12,"3","1","1","1","0","1","2",8.2,9.09,40,19.0012,52
"January","Monday",13,"3","1","1","1","0","1","2",8.2,9.09,40,19.0012,54
"January","Monday",14,"3","1","1","1","0","1","2",8.2,9.85,40,15.0013,47
"January","Monday",15,"3","1","1","1","0","1","2",8.2,9.85,40,15.0013,45
"January","Monday",16,"4","1","1","1","0","1","1",8.2,10.605,40,8.9981,74
"January","Monday",17,"4","1","1","1","0","1","1",8.2,11.365,40,7.0015,178
"January","Monday",18,"4","1","1","1","0","1","1",8.2,9.85,40,15.0013,155
"January","Monday",19,"4","1","1","1","0","1","1",6.56,8.335,47,11.0014,95
"January","Monday",20,"4","1","1","1","0","1","1",6.56,8.335,50,11.0014,74
"January","Monday",21,"5","1","1","1","0","1","1",5.74,6.82,59,12.998,38
"January","Monday",22,"5","1","1","1","0","1","1",5.74,7.575,59,11.0014,24
"January","Monday",23,"5","1","1","1","0","1","1",5.74,7.575,59,11.0014,18
"January","Tuesday",0,"1","1","1","1","0","1","1",5.74,8.335,59,7.0015,12
"January","Tuesday",1,"1","1","1","1","0","1","1",5.74,7.575,59,11.0014,3
"January","Tuesday",2,"1","1","1","1","0","1","2",6.56,7.575,55,12.998,3
"January","Tuesday",5,"1","1","1","1","0","1","2",6.56,9.09,55,8.9981,6
"January","Tuesday",6,"1","1","1","1","0","1","2",6.56,9.09,55,8.9981,27
"January","Tuesday",7,"2","1","1","1","0","1","2",6.56,11.365,55,0,99
"January","Tuesday",8,"2","1","1","1","0","1","2",7.38,10.605,51,6.0032,217
"January","Tuesday",9,"2","1","1","1","0","1","2",7.38,9.85,51,11.0014,130
"January","Tuesday",10,"2","1","1","1","0","1","2",8.2,10.605,51,11.0014,54
"January","Tuesday",11,"3","1","1","1","0","1","2",8.2,10.605,47,8.9981,35
"January","Tuesday",12,"3","1","1","1","0","1","2",8.2,11.365,51,7.0015,57
"January","Tuesday",13,"3","1","1","1","0","1","2",8.2,11.365,59,6.0032,52
"January","Tuesday",14,"3","1","1","1","0","1","2",8.2,11.365,59,6.0032,63
"January","Tuesday",15,"3","1","1","1","0","1","2",6.56,9.85,80,6.0032,47
"January","Tuesday",16,"4","1","1","1","0","1","2",6.56,7.575,86,15.0013,76
"January","Tuesday",17,"4","1","1","1","0","1","2",6.56,7.575,86,15.0013,136
"January","Tuesday",18,"4","1","0","1","0","1","3",6.56,9.09,93,7.0015,95
"January","Tuesday",19,"4","1","0","1","0","1","3",6.56,11.365,93,0,51
"January","Tuesday",20,"4","1","0","1","0","1","3",6.56,7.575,93,12.998,32
"January","Tuesday",21,"5","1","0","1","0","1","3",6.56,9.85,86,6.0032,20
"January","Tuesday",22,"5","1","0","1","0","1","3",6.56,9.09,93,7.0015,29
"January","Tuesday",23,"5","1","0","1","0","1","3",6.56,9.85,93,6.0032,19
"January","Wednesday",0,"1","1","1","1","0","1","2",6.56,9.85,86,6.0032,7
"January","Wednesday",1,"1","1","1","1","0","1","2",6.56,9.09,86,7.0015,6
"January","Wednesday",2,"1","1","1","1","0","1","1",5.74,7.575,86,8.9981,1
"January","Wednesday",5,"1","1","1","1","0","1","1",5.74,7.575,86,11.0014,5
"January","Wednesday",6,"1","1","1","1","0","1","1",4.92,7.575,93,8.9981,16
"January","Wednesday",7,"2","1","1","1","0","1","1",5.74,7.575,69,8.9981,54
"January","Wednesday",8,"2","1","1","1","0","1","1",6.56,8.335,59,11.0014,128
"January","Wednesday",9,"2","1","1","1","0","1","1",6.56,6.82,59,22.0028,81
"January","Wednesday",10,"2","1","1","1","0","1","1",7.38,9.09,55,15.0013,39
"January","Wednesday",11,"3","1","1","1","0","1","1",8.2,9.09,51,26.0027,35
"January","Wednesday",12,"3","1","1","1","0","1","1",8.2,7.575,47,39.0007,55
"January","Wednesday",13,"3","1","1","1","0","1","1",9.02,9.85,44,23.9994,49
"January","Wednesday",14,"3","1","1","1","0","1","1",8.2,9.09,47,22.0028,44
"January","Wednesday",15,"3","1","1","1","0","1","1",8.2,8.335,47,27.9993,49
"January","Wednesday",16,"4","1","1","1","0","1","1",9.02,9.85,44,22.0028,68
"January","Wednesday",17,"4","1","1","1","0","1","1",8.2,9.09,47,23.9994,139
"January","Wednesday",18,"4","1","1","1","0","1","1",8.2,7.575,47,35.0008,137
"January","Wednesday",19,"4","1","1","1","0","1","1",7.38,7.575,47,27.9993,83
"January","Wednesday",20,"4","1","1","1","0","1","1",6.56,6.82,50,22.0028,56
"January","Wednesday",21,"5","1","1","1","0","1","1",6.56,6.82,55,22.0028,57
"January","Wednesday",22,"5","1","1","1","0","1","1",6.56,6.06,55,30.0026,33
"January","Wednesday",23,"5","1","1","1","0","1","1",5.74,5.305,59,27.9993,20
"January","Thursday",0,"1","1","1","1","0","1","1",5.74,6.06,59,19.0012,7
"January","Thursday",1,"1","1","1","1","0","1","1",5.74,6.06,50,19.0012,2
"January","Thursday",2,"1","1","1","1","0","1","1",5.74,6.06,50,23.9994,2
"January","Thursday",3,"1","1","1","1","0","1","1",5.74,6.06,50,22.0028,3
"January","Thursday",4,"1","1","1","1","0","1","1",5.74,6.06,50,16.9979,4
"January","Thursday",5,"1","1","1","1","0","1","1",5.74,6.06,50,19.9995,3
"January","Thursday",6,"1","1","1","1","0","1","1",4.92,7.575,54,8.9981,28
"January","Thursday",7,"2","1","1","1","0","1","1",4.92,7.575,54,8.9981,72
"January","Thursday",8,"2","1","1","1","0","1","1",5.74,6.82,50,12.998,202
"January","Thursday",9,"2","1","1","1","0","1","1",5.74,6.06,50,22.0028,139
"January","Thursday",10,"2","1","1","1","0","1","2",6.56,6.82,50,23.9994,38
"January","Thursday",11,"3","1","1","1","0","1","2",8.2,8.335,44,30.0026,37
"January","Thursday",12,"3","1","1","1","0","1","1",8.2,8.335,44,27.9993,52
"January","Thursday",13,"3","1","1","1","0","1","1",9.02,9.85,41,30.0026,83
"January","Thursday",14,"3","1","1","1","0","1","1",9.02,9.85,41,26.0027,42
"January","Thursday",15,"3","1","1","1","0","1","1",9.84,10.605,38,19.9995,60
"January","Thursday",16,"4","1","1","1","0","1","1",9.84,10.605,38,23.9994,78
"January","Thursday",17,"4","1","1","1","0","1","1",8.2,9.09,40,19.0012,162
"January","Thursday",18,"4","1","1","1","0","1","1",8.2,9.09,40,22.0028,144
"January","Thursday",19,"4","1","1","1","0","1","1",6.56,7.575,47,16.9979,99
"January","Thursday",20,"4","1","1","1","0","1","1",6.56,7.575,47,15.0013,64
"January","Thursday",21,"5","1","1","1","0","1","1",5.74,6.06,46,19.9995,40
"January","Thursday",22,"5","1","1","1","0","1","1",5.74,6.06,46,22.0028,30
"January","Thursday",23,"5","1","1","1","0","1","1",4.92,6.82,50,12.998,15
"January","Friday",0,"1","1","1","1","0","1","1",4.92,6.82,50,12.998,14
"January","Friday",1,"1","1","1","1","0","1","1",4.1,6.06,54,11.0014,5
"January","Friday",2,"1","1","1","1","0","1","1",4.1,6.06,54,8.9981,1
"January","Friday",3,"1","1","1","1","0","1","1",4.1,6.82,54,7.0015,1
"January","Friday",5,"1","1","1","1","0","1","1",4.1,6.82,54,6.0032,8
"January","Friday",6,"1","1","1","1","0","1","1",4.1,9.09,54,0,17
"January","Friday",7,"2","1","1","1","0","1","1",4.1,6.06,74,11.0014,70
"January","Friday",8,"2","1","1","1","0","1","1",4.92,8.335,68,0,158
"January","Friday",9,"2","1","1","1","0","1","1",5.74,7.575,69,8.9981,117
"January","Friday",10,"2","1","1","1","0","1","1",7.38,9.09,55,12.998,44
"January","Friday",11,"3","1","1","1","0","1","1",7.38,8.335,51,19.0012,53
"January","Friday",12,"3","1","1","1","0","1","1",8.2,9.85,44,16.9979,61
"January","Friday",13,"3","1","1","1","0","1","1",9.02,9.85,37,26.0027,77
"January","Friday",14,"3","1","1","1","0","1","1",9.02,10.605,41,19.0012,64
"January","Friday",15,"3","1","1","1","0","1","1",9.84,12.12,38,11.0014,68
"January","Friday",16,"4","1","1","1","0","1","1",9.02,12.12,41,7.0015,90
"January","Friday",17,"4","1","1","1","0","1","1",9.02,11.365,41,11.0014,159
"January","Friday",18,"4","1","1","1","0","1","1",8.2,12.88,47,0,139
"January","Friday",19,"4","1","1","1","0","1","1",6.56,9.85,59,6.0032,92
"January","Friday",20,"4","1","1","1","0","1","1",7.38,12.12,59,0,68
"January","Friday",21,"5","1","1","1","0","1","1",6.56,11.365,69,0,52
"January","Friday",22,"5","1","1","1","0","1","2",6.56,11.365,69,0,36
"January","Friday",23,"5","1","1","1","0","1","2",7.38,12.12,55,0,27
"January","Saturday",0,"1","1","1","1","0","0","1",7.38,12.12,55,0,28
"January","Saturday",1,"1","1","1","1","0","0","2",6.56,9.85,59,6.0032,20
"January","Saturday",2,"1","1","1","1","0","0","2",6.56,9.85,59,6.0032,12
"January","Saturday",3,"1","1","1","1","0","0","2",6.56,11.365,59,0,8
"January","Saturday",4,"1","1","1","1","0","0","2",6.56,11.365,59,0,5
"January","Saturday",5,"1","1","1","1","0","0","1",6.56,11.365,59,0,1
"January","Saturday",6,"1","1","1","1","0","0","1",5.74,8.335,63,7.0015,3
"January","Saturday",7,"2","1","1","1","0","0","1",5.74,10.605,63,0,10
"January","Saturday",8,"2","1","1","1","0","0","1",5.74,7.575,63,8.9981,23
"January","Saturday",9,"2","1","1","1","0","0","1",6.56,9.09,64,8.9981,33
