"","X","Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Area_Of_Wilderness","Soil_Type","Cover_Type"
"32",32,-0.544,-0.469,-1.124,-0.51,-0.818,-0.845,0.664,0.528,-0.111,3.689,"W1","S18","C5"
"33",33,-0.551,-0.497,-1.242,-0.491,-0.769,-0.829,0.566,0.615,0.042,3.68,"W1","S18","C5"
"34",34,-0.559,-1.214,-1.242,-0.367,-0.769,-0.797,0.108,0.352,0.259,3.664,"W1","S18","C5"
"35",35,-0.561,-1.051,-0.887,-0.31,-0.769,-0.78,0.271,0.045,-0.046,3.656,"W1","S18","C5"
"36",36,0.361,-1.014,0.296,0.07,-0.507,2.63,0.271,-1.051,-0.765,2.367,"W1","S29","C2"
"37",37,-0.097,-0.288,1.36,-0.763,-0.458,1.14,1.319,-0.525,-1.614,4.166,"W1","S30","C5"
"38",38,-0.571,-0.588,-1.124,-0.215,-0.54,-0.749,0.599,0.44,-0.089,3.621,"W1","S18","C5"
"39",39,-0.001,-0.533,1.597,-0.491,0.031,1.209,1.286,-1.577,-2.159,4.086,"W1","S30","C5"
"40",40,-0.152,1.792,-0.532,-1.081,-0.834,1.097,-0.416,0.002,0.477,4.222,"W1","S30","C5"
"41",41,-0.12,1.729,-1.597,-1.081,-0.834,0.288,0.01,0.659,0.521,4.857,"W1","S20","C1"
"42",42,-0.429,1.72,-1.715,-1.081,-0.834,-1.044,0.075,0.703,0.499,3.849,"W1","S29","C2"
"43",43,-0.518,-0.778,-0.887,-0.367,-0.883,-0.858,0.566,0.177,-0.198,3.674,"W1","S18","C5"
"44",44,-0.111,1.574,1.242,-0.939,-0.556,1.077,-2.183,-0.963,1.066,4.25,"W1","S16","C5"
"45",45,-0.171,-0.26,-1.361,-0.629,-0.458,-0.041,0.533,0.747,0.129,4.577,"W1","S12","C2"
"46",46,-0.527,-0.806,-1.006,-0.082,-0.916,-0.791,0.5,0.265,-0.111,3.612,"W1","S18","C5"
"47",47,-0.539,-0.569,-1.124,-0.072,-0.899,-0.777,0.631,0.44,-0.111,3.603,"W1","S18","C5"
"48",48,-0.511,-0.524,-1.242,0.032,-0.834,-0.796,0.566,0.572,0.02,3.604,"W1","S18","C5"
"49",49,-0.602,-0.824,-1.242,-0.629,-0.72,-0.614,0.468,0.352,-0.002,3.496,"W1","S18","C5"
"50",50,-0.623,-0.515,-1.124,-0.677,-0.622,-0.682,0.631,0.528,-0.089,3.476,"W1","S18","C5"
"51",51,-0.087,-0.36,1.597,-0.796,-0.556,1.195,1.351,-0.919,-1.898,4.116,"W1","S30","C5"
"52",52,-0.025,1.511,1.005,-0.677,-0.132,1.06,-2.084,-0.612,1.24,4.28,"W1","S29","C1"
"53",53,-0.128,-0.769,-1.715,-0.939,-0.834,1.175,0.304,0.659,0.303,4.146,"W1","S30","C1"
"54",54,-0.573,-0.706,-0.296,-0.168,-0.524,-0.621,0.795,-0.174,-0.634,3.467,"W1","S18","C5"
"55",55,-0.592,-0.687,-1.124,-0.248,-0.654,-0.605,0.566,0.352,-0.133,3.459,"W1","S18","C5"
"56",56,-0.065,1.438,0.887,-0.939,-0.524,1.134,-2.117,-0.305,1.414,4.201,"W1","S16","C1"
"57",57,-0.597,-0.751,-0.651,-0.177,-0.687,-0.592,0.664,0.002,-0.416,3.426,"W1","S18","C5"
"58",58,-0.63,-0.806,-1.361,-0.225,-0.899,-0.637,0.402,0.484,0.085,3.41,"W1","S18","C5"
"59",59,-0.623,-1.323,-1.479,-0.248,-0.622,-0.66,0.108,0.572,0.39,3.403,"W1","S18","C5"
"60",60,-0.623,-1.042,-1.242,-0.31,-0.622,-0.682,0.271,0.352,0.129,3.396,"W1","S18","C5"
"61",61,-0.621,-0.742,-1.361,-0.444,-0.556,-0.682,0.468,0.484,0.042,3.37,"W1","S18","C5"
"62",62,0.485,-0.451,-0.651,-0.882,-0.72,3.118,0.86,0.308,-0.416,1.816,"W1","S29","C2"
"63",63,-0.106,-0.606,-1.006,-0.444,-0.475,0.233,0.631,0.396,-0.133,4.64,"W1","S12","C2"
"64",64,-0.58,-1.06,-1.124,-0.353,-0.671,-0.592,0.271,0.221,0.063,3.373,"W1","S18","C5"
"65",65,-0.597,-0.978,-0.296,-0.367,-0.393,-0.637,0.402,-0.393,-0.416,3.358,"W1","S18","C5"
"66",66,-0.614,-0.851,-0.769,-0.477,-0.507,-0.66,0.533,0.089,-0.242,3.351,"W1","S18","C5"
"67",67,-0.575,-0.887,-1.124,-0.444,-0.671,-0.614,0.435,0.308,-0.024,3.339,"W1","S18","C5"
"68",68,0.406,-1.305,-0.414,-0.653,-0.736,2.722,-0.187,-0.218,0.151,2.317,"W1","S29","C1"
"69",69,-0.022,-0.933,-1.242,-0.044,-0.148,0.432,0.37,0.352,0.063,4.705,"W1","S12","C2"
"70",70,-0.262,-0.697,-1.006,-0.225,-0.867,-0.469,0.599,0.265,-0.176,3.959,"W1","S29","C2"
"71",71,0.224,0.085,-0.532,0.07,0.031,2.053,0.566,1.098,0.194,3.132,"W1","S30","C2"
"72",72,0.619,-1.014,-0.296,0.237,-0.671,3.515,0.337,-0.481,-0.416,1.386,"W1","S29","C2"
"73",73,0.344,-0.388,-0.059,-0.567,-0.344,2.53,1.057,0.177,-0.721,2.572,"W1","S29","C2"
"74",74,0.241,-1.369,-0.887,-1.081,-0.834,2.373,-0.088,0.177,0.347,2.761,"W1","S16","C2"
"75",75,-0.29,-1.151,-0.769,0.061,-0.524,-0.569,0.141,-0.042,0.02,3.758,"W1","S29","C2"
"76",76,0.275,-0.351,0.177,-0.125,0.374,2.153,1.155,0.089,-0.917,3.035,"W1","S30","C2"
"77",77,0.186,0.03,1.36,-0.444,0.227,1.686,0.73,0.615,-0.59,3.603,"W1","S30","C2"
"78",78,-0.527,1.538,-1.361,-0.939,-0.605,-0.492,-0.187,0.659,0.673,3.215,"W1","S16","C2"
"79",79,0.14,-0.524,-1.124,0.737,0.717,1.051,0.664,0.484,-0.111,4.391,"W1","S12","C1"
"80",80,0.217,-0.033,1.124,-0.444,-0.148,2.188,0.926,0.528,-0.721,3.02,"W1","S30","C2"
"81",81,0.109,-0.706,-0.769,1.446,0.734,0.955,0.664,0.177,-0.307,4.533,"W1","S20","C1"
"82",82,-0.008,-0.124,-0.059,-0.763,-0.475,0.548,0.926,0.703,-0.351,4.624,"W1","S12","C2"
"83",83,0.234,1.774,1.124,-0.367,0.505,1.497,-1.528,-1.402,0.368,3.896,"W1","S29","C1"
"84",84,0.217,-1.296,-0.296,-0.053,0.603,1.387,-0.219,-0.393,0.107,4.03,"W1","S12","C1"
"85",85,-0.508,-1.042,-1.124,-0.082,-0.556,-0.439,0.304,0.221,0.042,3.098,"W1","S18","C2"
"86",86,0.265,1.829,0.059,-0.248,0.766,1.503,-0.71,-0.569,0.347,3.899,"W1","S29","C1"
"87",87,0.164,1.593,1.124,-0.939,-0.556,2.122,-2.019,-0.963,1,3.152,"W1","S29","C2"
"88",88,0.124,-1.26,-1.124,1.584,0.113,1.034,0.075,0.308,0.281,4.496,"W1","S12","C2"
"89",89,0.1,-0.851,-0.769,0.908,-0.05,0.927,0.533,0.089,-0.242,4.632,"W1","S12","C2"
"90",90,-0.01,1.356,-0.651,-0.763,-0.442,0.53,-0.743,0.659,1.066,4.47,"W1","S29","C2"
"91",91,-0.563,-0.497,-1.242,0.213,-0.916,-0.477,0.566,0.615,0.042,3,"W1","S18","C2"
"92",92,0.093,-1.305,-0.059,-0.939,-0.703,1.82,-0.318,-0.569,0.042,3.532,"W1","S29","C2"
"93",93,-0.448,1.792,-0.532,-0.763,-0.687,-0.496,-0.416,-0.042,0.456,3.2,"W1","S30","C2"
"94",94,0.775,0.148,-0.532,-0.567,-0.883,3.865,0.468,1.186,0.303,1.113,"W1","S29","C2"
"95",95,0.547,-0.778,-0.769,0.946,0.554,3.04,0.599,0.089,-0.307,2.074,"W1","S29","C2"
"96",96,0.265,-1.142,-0.769,0.323,0.766,1.457,0.173,-0.042,-0.002,3.994,"W1","S12","C1"
"97",97,0.761,0.067,-0.651,-0.677,-0.72,3.847,0.566,1.054,0.194,1.148,"W1","S29","C2"
"98",98,0.131,-0.769,-1.361,1.503,0.162,1.057,0.402,0.528,0.129,4.509,"W1","S12","C2"
"99",99,-0.448,-0.887,-1.597,-1.081,-0.834,-0.451,0.271,0.615,0.281,3.255,"W1","S16","C2"
"100",100,-0.437,-1.114,-0.887,-0.177,-0.573,-0.436,0.206,0.089,0.063,3.103,"W1","S18","C2"
"101",101,0.595,-1.014,-1.006,0.589,-0.573,3.115,0.337,0.133,-0.024,2.009,"W1","S29","C2"
"102",102,-0.156,-0.66,-0.532,-0.367,-0.801,-0.028,0.795,0.045,-0.481,3.802,"W1","S29","C2"
"103",103,-0.176,-1.042,-0.651,-0.367,-0.916,-0.06,0.304,-0.13,-0.155,3.767,"W1","S29","C2"
"104",104,0.272,-0.497,-0.178,-0.177,0.325,2.019,1.024,0.002,-0.765,3.339,"W1","S29","C1"
"105",105,-0.42,0.121,-1.361,-0.272,-0.458,-0.403,0.37,1.01,0.39,3.09,"W1","S18","C2"
"106",106,-0.571,0.493,-1.242,-0.31,-0.344,-0.485,0.108,1.142,0.673,2.863,"W1","S18","C2"
"107",107,0.761,-1.133,-1.479,-0.939,-0.867,3.747,0.206,0.484,0.259,1.305,"W1","S20","C2"
"108",108,0.382,-0.905,-0.059,-0.444,-0.458,2.859,0.533,-0.7,-0.721,2.339,"W1","S29","C2"
"109",109,0.272,1.738,-0.296,0.389,0.619,1.663,-0.645,-0.13,0.565,3.804,"W1","S29","C1"
"110",110,-0.437,1.602,-1.834,-1.081,-0.834,-0.338,0.108,0.791,0.499,3.244,"W1","S16","C2"
"111",111,1.036,-0.469,-0.651,0.861,-0.295,3.235,0.893,0.308,-0.438,-0.297,"W1","S29","C1"
"112",112,0.164,1.52,-0.532,0.07,-0.409,1.843,-0.776,0.352,0.913,3.596,"W1","S16","C1"
"113",113,0.006,1.593,-1.242,0.546,-0.442,0.497,-0.187,0.615,0.652,4.2,"W1","S12","C2"
"114",114,0.004,-0.624,-1.361,0.823,-0.344,0.459,0.5,0.528,0.042,4.161,"W1","S12","C2"
"115",115,-0.432,-0.497,-1.124,0.004,-0.54,-0.338,0.631,0.528,-0.067,3.03,"W1","S18","C2"
"116",116,1.067,-0.415,-0.178,1.151,-0.083,3.19,1.057,0.133,-0.743,-0.277,"W1","S29","C1"
"117",117,0.557,-0.942,-0.296,0.061,0.195,3.05,0.468,-0.437,-0.503,2.154,"W1","S29","C2"
"118",118,0.241,-0.896,-1.242,0.323,0.113,2.023,0.402,0.352,0.042,3.389,"W1","S29","C1"
"119",119,-0.391,-0.733,-1.479,-0.177,-0.344,-0.32,0.402,0.572,0.172,3.058,"W1","S18","C2"
"120",120,0.21,-1.269,-0.414,0.489,-0.099,1.907,-0.154,-0.349,0.063,3.561,"W1","S29","C1"
"121",121,-0.063,-0.524,-1.242,0.351,-0.279,0.298,0.566,0.572,0.02,3.893,"W1","S12","C2"
"122",122,0.768,-1.423,-0.651,-0.939,-0.932,3.906,-0.285,0.045,0.39,1.224,"W1","S29","C2"
"123",123,0.737,-0.297,-0.532,-0.367,0.031,3.618,0.893,0.528,-0.372,1.545,"W1","S29","C2"
"124",124,0.164,-0.342,0.296,-0.939,-0.671,2.641,1.155,0.045,-0.939,2.715,"W1","S29","C2"
"125",125,0.234,1.484,1.952,-0.677,-0.197,2.467,-3.033,-1.27,1.392,2.924,"W1","S29","C2"
"126",126,-0.343,-0.406,-0.651,-0.939,-0.769,-0.098,0.86,0.396,-0.351,3.268,"W1","S16","C2"
"127",127,0.344,-0.669,-1.242,1.541,0.815,1.733,0.533,0.484,-0.002,3.858,"W1","S12","C2"
"128",128,-0.08,-1.414,-0.769,0.032,-0.393,0.291,-0.219,0.133,0.39,3.7,"W1","S12","C2"
"129",129,-0.252,-0.288,0.414,-0.763,-0.426,0.004,1.188,0.089,-0.982,3.325,"W1","S29","C2"
"130",130,-0.326,-1.087,-1.361,-0.053,-0.279,-0.147,0.239,0.44,0.238,3.006,"W1","S12","C2"
"131",131,0.43,1.811,-0.532,-1.081,-0.834,3.051,-0.383,0.002,0.434,2.278,"W1","S24","C2"
"132",132,0.042,1.366,-0.532,-0.939,-0.703,0.817,-0.841,0.615,1.109,4.256,"W1","S29","C2"
"133",133,0.579,-0.978,-0.414,-0.677,-0.834,3.385,0.402,-0.349,-0.394,1.911,"W1","S24","C1"
"134",134,0.454,-0.915,0.177,-0.629,-0.507,2.905,0.533,-0.832,-0.808,2.466,"W1","S24","C2"
"135",135,-0.508,-1.36,-0.532,-1.081,-0.834,-0.099,-0.252,-0.13,0.281,2.725,"W1","S16","C2"
"136",136,0.885,-0.342,-1.124,-0.31,-0.671,3.733,0.664,0.659,-0.046,0.95,"W1","S29","C2"
"137",137,0.461,1.72,-0.532,-0.939,-0.785,3.173,-0.514,0.089,0.586,2.172,"W1","S24","C1"
"138",138,0.327,-1.314,-1.124,1.632,0.701,1.948,0.01,0.308,0.325,3.643,"W1","S29","C1"
"139",139,0.061,1.702,-0.414,-0.882,-0.72,0.86,-0.612,0.002,0.63,4.242,"W1","S29","C2"
"140",140,-0.621,-0.706,-0.887,0.061,-0.622,-0.631,0.631,0.221,-0.242,2.43,"W1","S18","C2"
"141",141,0.854,0.648,0.177,2.051,0.93,3.222,-0.71,1.536,1.327,0.131,"W1","S29","C1"
"142",142,0.196,1.157,0.887,-0.796,-0.458,2.637,-2.215,0.572,1.894,2.818,"W1","S24","C2"
"143",143,0.21,-0.406,-1.006,0.213,-0.573,1.46,0.73,0.528,-0.155,4.282,"W1","S12","C2"
"144",144,0.337,1.293,0.769,-0.225,0.456,2.558,-2.052,0.221,1.676,2.93,"W1","S24","C2"
"145",145,0.179,-0.197,-1.361,-0.044,-0.736,1.41,0.468,0.835,0.194,4.368,"W1","S20","C2"
"146",146,-0.051,-0.197,-1.597,0.07,-0.312,0.404,0.37,0.835,0.325,3.64,"W1","S12","C2"
"147",147,0.509,-0.624,-0.059,-0.177,-0.458,3.306,0.959,-0.305,-0.874,2.091,"W1","S24","C1"
"148",148,0.94,0.575,-0.651,0.937,0.293,3.398,-0.187,1.405,0.957,0.434,"W1","S29","C2"
"149",149,0.234,-1.405,-1.242,-0.248,-0.671,1.542,-0.023,0.44,0.412,4.257,"W1","S20","C2"
"150",150,-0.511,-1.114,-1.361,0.07,-0.573,-0.356,0.206,0.396,0.238,2.445,"W1","S18","C2"
"151",151,1.002,-0.56,-1.242,-0.939,-0.834,2.392,0.533,0.528,0.02,-0.247,"W1","S29","C1"
"152",152,0.423,1.202,0.887,-0.082,0.783,2.575,-2.215,0.396,1.85,3.003,"W1","S24","C1"
"153",153,0.344,-1.232,-1.242,0.323,-0.246,1.805,0.108,0.352,0.281,3.958,"W1","S12","C2"
"154",154,-0.149,-1.242,-0.651,-0.367,-0.197,0.205,-0.023,-0.086,0.107,3.114,"W1","S12","C2"
"155",155,0.861,0.493,0.059,0.937,0.064,3.302,-0.285,1.536,1,0.46,"W1","S29","C2"
"156",156,0.885,0.394,0.414,-0.796,-0.834,3.459,-0.154,1.493,0.804,0.787,"W1","S29","C2"
"157",157,0.399,1.747,-0.769,1.241,-0.246,2.081,-0.35,0.177,0.543,3.628,"W1","S29","C1"
"158",158,0.109,-1.26,-1.597,-0.044,-0.556,1.002,0.141,0.615,0.39,4.147,"W1","S12","C2"
"159",159,-0.465,-0.896,-0.296,0.275,-0.524,-0.365,0.566,-0.437,-0.569,2.407,"W1","S18","C2"
"160",160,-0.599,-1.042,-0.414,1.284,-0.948,-0.574,0.304,-0.305,-0.263,2.217,"W1","S18","C2"
"161",161,0.665,0.148,-0.651,0.513,-0.148,2.992,0.468,1.142,0.303,0.354,"W1","S29","C1"
"162",162,0.83,0.03,-0.178,-0.677,-0.573,3.352,0.697,1.01,-0.002,0.726,"W1","S29","C1"
"163",163,0.399,-0.469,-0.414,0.194,0.619,2.946,0.959,0.177,-0.59,2.642,"W1","S29","C2"
"164",164,-0.379,-1.042,-0.532,0.585,-0.475,-0.238,0.304,-0.262,-0.22,2.466,"W1","S29","C2"
"165",165,1.043,1.556,-0.059,-0.477,-0.622,2.301,-1.136,0.002,0.978,-0.108,"W1","S29","C1"
"166",166,0.65,0.584,-0.769,0.461,-0.197,2.989,-0.154,1.361,0.913,0.387,"W1","S29","C1"
"167",167,0.799,0.911,-1.479,1.346,-1.242,3.508,-0.121,1.01,0.782,1.238,"W1","S29","C2"
"168",168,0.265,1.084,1.952,-0.796,-0.295,2.7,-3.197,0.308,2.286,2.953,"W1","S24","C2"
"169",169,0.619,0.357,-0.178,0.004,-0.507,2.884,0.075,1.405,0.673,0.375,"W1","S23","C2"
"170",170,0.682,0.294,-0.296,0.746,0.244,3.049,0.239,1.361,0.543,0.455,"W1","S29","C1"
"171",171,0.296,-0.242,-0.059,-0.763,-0.573,1.748,1.024,0.484,-0.547,4.164,"W1","S30","C2"
"172",172,1.036,-0.978,-0.414,0.437,-0.72,2.304,0.402,-0.349,-0.372,0.002,"W1","S29","C1"
"173",173,0.595,-0.497,-0.532,0.746,1.746,3.254,0.86,0.265,-0.46,2.373,"W1","S29","C2"
"174",174,-0.219,1.82,0.414,0.347,0.048,-0.088,-0.939,-0.876,0.303,2.523,"W1","S29","C2"
"175",175,1.019,-1.287,-1.124,0.661,0.668,2.341,0.042,0.308,0.303,0.066,"W1","S29","C1"
"176",176,0.485,-1.351,-1.124,1.241,1.207,2.444,-0.023,0.352,0.368,3.346,"W1","S20","C1"
"177",177,-0.305,-0.56,-0.532,1.222,-0.197,-0.291,0.86,0.133,-0.503,2.341,"W1","S29","C2"
"178",178,0.492,1.193,0.532,0.094,1.256,2.649,-1.855,0.615,1.741,3.143,"W1","S24","C2"
"179",179,0.21,-0.824,-0.887,-0.125,-0.458,1.465,0.533,0.089,-0.242,4.391,"W1","S20","C2"
"180",180,1.036,-1.014,-1.597,1.099,0.946,2.271,0.239,0.572,0.303,0.136,"W1","S29","C1"
"181",181,0.785,-0.251,-1.597,1.86,-0.132,3.458,0.402,0.791,0.259,1.591,"W1","S29","C2"
"182",182,0.014,1.484,-1.479,-0.939,-0.85,0.887,-0.121,0.747,0.652,3.597,"W1","S12","C2"
"183",183,0.713,-1.169,-0.651,1.775,-0.622,3.547,0.108,-0.174,-0.024,1.845,"W1","S29","C1"
"184",184,0.313,-0.642,-0.532,-0.939,-0.785,2.004,0.795,0.089,-0.481,3.996,"W1","S30","C2"
"185",185,1.129,1.229,-1.597,0.937,-0.034,2.028,-0.023,0.835,0.652,0.181,"W1","S29","C1"
"186",186,1.036,-0.379,-0.769,1.551,-0.671,2.182,0.795,0.528,-0.242,0.234,"W1","S29","C1"
"187",187,0.753,-1.16,0.887,-0.367,-0.083,2.518,-0.285,-1.621,-0.677,0.579,"W1","S29","C1"
"188",188,0.186,1.593,-0.178,-0.882,-0.687,1.423,-0.907,0.089,0.848,4.142,"W1","S29","C2"
"189",189,-0.554,-0.451,-1.361,0.632,-0.197,-0.876,0.533,0.659,0.085,1.828,"W1","S18","C2"
"190",190,0.72,0.212,-1.479,0.237,-0.883,3.07,0.271,1.01,0.456,1.1,"W1","S29","C1"
"191",191,0.856,1.811,-0.532,0.266,0.619,2.37,-0.383,0.002,0.434,0.507,"W1","S29","C1"
"192",192,0.588,0.148,-0.178,0.194,1.37,3.47,0.5,1.186,0.238,2.385,"W1","S30","C2"
"193",193,-0.068,0.067,-1.479,-0.763,-0.867,0.025,0.37,0.966,0.368,2.436,"W1","S12","C2"
"194",194,1.036,-0.369,-1.124,1.675,-0.671,2.046,0.664,0.615,-0.046,0.312,"W1","S29","C1"
"195",195,-0.061,-0.224,-0.651,-0.796,-0.867,0.759,0.828,0.659,-0.242,3.058,"W1","S12","C2"
"196",196,-0.561,-0.606,-0.887,0.408,-0.197,-0.908,0.664,0.352,-0.22,1.764,"W1","S18","C2"
"197",197,0.641,-1.005,0.65,-0.072,0.015,2.569,0.271,-1.358,-0.939,0.764,"W1","S29","C1"
"198",198,0.785,0.902,-1.479,1.86,2.595,3.408,-0.088,1.01,0.761,2.021,"W1","S29","C2"
"199",199,0.43,1.647,-1.006,-0.177,-0.197,2.022,-0.35,0.396,0.652,4.177,"W1","S12","C2"
"200",200,-0.034,-0.27,-0.532,-0.763,-0.736,0.824,0.893,0.572,-0.329,3.103,"W1","S12","C2"
"201",201,0.344,1.475,0.414,-0.367,-0.132,3.102,-1.594,-0.086,1.24,2.869,"W1","S24","C2"
"202",202,1.153,-1.014,-1.479,2.003,0.129,1.856,0.271,0.528,0.259,0.373,"W1","S29","C1"
"203",203,-0.453,-0.615,-0.769,-0.044,-0.279,-0.742,0.73,0.221,-0.329,1.813,"W1","S29","C2"
"204",204,0.988,-1.033,-0.178,1.222,1.517,2.221,0.271,-0.612,-0.438,0.615,"W1","S29","C1"
"205",205,0.557,0.285,-0.296,-0.51,-0.867,2.858,0.239,1.361,0.543,1.126,"W1","S29","C1"
"206",206,-0.044,-0.824,-1.361,-1.081,-0.834,0.839,0.402,0.484,0.129,3.056,"W1","S20","C2"
"207",207,1.012,-0.969,-0.651,2.531,-0.834,1.942,0.402,-0.174,-0.263,0.478,"W1","S20","C1"
"208",208,0.399,-0.17,0.532,-0.477,-0.034,3.498,1.122,0.352,-0.808,2.45,"W1","S29","C2"
"209",209,0.337,-0.851,0.059,-0.353,-0.263,1.476,0.664,-0.744,-0.852,3.86,"W1","S30","C2"
"210",210,-0.109,-1.014,-0.769,0.456,-0.475,-0.295,0.337,0.002,-0.111,2.021,"W1","S12","C2"
"211",211,1.074,-1.214,0.177,1.794,2.105,2.136,-0.187,-0.832,-0.242,0.704,"W1","S29","C1"
"212",212,0.564,0.521,-1.361,0.546,0.195,2.853,0.075,1.142,0.673,1.531,"W1","S29","C2"
"213",213,0.627,1.511,0.532,1.027,1.795,3.112,-1.594,-0.218,1.153,3.09,"W1","S24","C2"
"214",214,0.658,1.411,0.177,1.175,2.056,3.072,-1.43,0.221,1.284,3.136,"W1","S24","C2"
"215",215,0.033,-1.36,-0.532,-0.677,-0.556,0.857,-0.252,-0.13,0.281,2.979,"W1","S24","C2"
"216",216,1.184,-0.915,-0.059,1.86,0.407,1.623,0.533,-0.656,-0.677,0.649,"W1","S40","C1"
"217",217,0.492,-1.341,-0.769,-0.677,-0.671,2.606,-0.121,0.089,0.303,1.189,"W1","S16","C1"
"218",218,1.081,-1.332,-0.414,3.603,2.105,1.828,-0.252,-0.262,0.172,0.707,"W1","S23","C1"
"219",219,0.533,-1.096,1.005,-0.939,-0.834,2.565,-0.121,-1.884,-0.982,1.186,"W1","S29","C1"
"220",220,0.564,0.094,-0.414,1.099,0.244,2.911,0.566,1.098,0.194,1.825,"W1","S29","C2"
"221",221,-0.504,-1.214,0.059,-0.653,-0.589,-0.925,-0.187,-0.788,-0.22,1.458,"W1","S29","C2"
"222",222,0.603,0.939,-1.006,2.346,1.354,3.076,-0.416,1.142,1.044,2.175,"W1","S29","C2"
"223",223,0.485,-0.96,-0.769,-0.367,-0.573,2.573,0.402,-0.042,-0.198,1.317,"W1","S16","C1"
"224",224,0.509,0.493,-0.414,0.132,-0.132,2.755,-0.121,1.449,0.913,1.66,"W1","S29","C2"
"225",225,0.61,-1.423,-0.532,1.222,0.554,2.531,-0.35,-0.086,0.368,3.936,"W1","S12","C1"
"226",226,-0.053,-1.014,-1.479,-0.491,-0.491,0.431,0.271,0.528,0.259,2.485,"W1","S12","C2"
