"Elevation","Soil_Type","Horizontal_Distance_To_Roadways","Horizontal_Distance_To_Fire_Points","Area_Of_Wilderness","Horizontal_Distance_To_Hydrology","Hillshade_3pm","Aspect","Cover_Type"
0.333,18,0.096,0.763,1,0.152,0.512,0.261,5
0.339,18,0.093,0.763,1,0.168,0.535,0.275,5
0.32,18,0.126,0.747,1,0.068,0.531,0.183,5
0.315,18,0.114,0.744,1,0.061,0.516,0.278,5
0.427,30,0.463,0.842,1,0.043,0.189,0.325,5
0.44,29,0.438,0.867,1,0.061,0.756,0.897,1
0.419,30,0.46,0.846,1,0.021,0.587,0.2,1
0.326,18,0.125,0.742,1,0.137,0.417,0.219,5
0.322,18,0.128,0.741,1,0.125,0.508,0.225,5
0.432,16,0.452,0.855,1,0.021,0.787,0.875,1
0.321,18,0.131,0.736,1,0.136,0.457,0.206,5
0.314,18,0.122,0.734,1,0.129,0.547,0.189,5
0.315,18,0.118,0.732,1,0.125,0.602,0.031,5
0.315,18,0.114,0.731,1,0.116,0.555,0.117,5
0.316,18,0.114,0.727,1,0.096,0.539,0.208,5
0.547,29,0.821,0.489,1,0.03,0.457,0.297,2
0.423,12,0.284,0.922,1,0.096,0.508,0.25,2
0.324,18,0.131,0.728,1,0.11,0.543,0.111,5
0.321,18,0.122,0.726,1,0.107,0.457,0.136,5
0.317,18,0.118,0.725,1,0.091,0.488,0.175,5
0.325,18,0.126,0.723,1,0.096,0.528,0.164,5
0.53,29,0.748,0.566,1,0.064,0.559,0.036,1
0.441,12,0.321,0.932,1,0.156,0.543,0.15,2
0.391,29,0.153,0.818,1,0.129,0.5,0.222,2
0.492,30,0.623,0.691,1,0.173,0.567,0.461,2
0.575,29,0.895,0.423,1,0.198,0.457,0.125,2
0.517,29,0.712,0.605,1,0.077,0.402,0.317,2
0.496,16,0.683,0.634,1,0,0.594,0.017,2
0.385,29,0.135,0.787,1,0.172,0.535,0.083,2
0.503,30,0.642,0.676,1,0.144,0.366,0.328,2
0.484,30,0.555,0.763,1,0.096,0.425,0.444,2
0.335,16,0.149,0.704,1,0.021,0.654,0.906,2
0.475,12,0.437,0.884,1,0.273,0.512,0.275,1
0.491,30,0.648,0.674,1,0.096,0.402,0.425,2
0.468,20,0.419,0.906,1,0.38,0.476,0.219,1
0.444,12,0.343,0.92,1,0.048,0.469,0.397,2
0.494,29,0.519,0.808,1,0.107,0.598,0.978,1
0.491,12,0.499,0.829,1,0.155,0.551,0.039,1
0.339,18,0.159,0.686,1,0.15,0.539,0.117,2
0.501,29,0.521,0.809,1,0.125,0.594,0.994,1
0.48,29,0.636,0.694,1,0.021,0.713,0.922,2
0.471,12,0.433,0.9,1,0.401,0.583,0.05,2
0.466,12,0.413,0.921,1,0.299,0.488,0.175,2
0.443,29,0.339,0.896,1,0.048,0.724,0.85,2
0.328,18,0.152,0.671,1,0.195,0.539,0.283,2
0.465,29,0.58,0.752,1,0.021,0.539,0.036,2
0.352,30,0.149,0.701,1,0.048,0.614,0.983,2
0.607,29,0.961,0.381,1,0.077,0.587,0.481,2
0.56,29,0.807,0.529,1,0.305,0.476,0.197,2
0.501,12,0.512,0.823,1,0.211,0.531,0.086,1
0.604,29,0.957,0.387,1,0.061,0.567,0.456,2
0.473,12,0.438,0.902,1,0.389,0.555,0.2,2
0.352,16,0.157,0.71,1,0,0.583,0.164,2
0.354,18,0.16,0.686,1,0.136,0.543,0.094,2
0.57,29,0.821,0.519,1,0.251,0.528,0.125,2
0.413,29,0.236,0.794,1,0.107,0.445,0.233,2
0.409,29,0.23,0.788,1,0.107,0.504,0.117,2
0.502,29,0.617,0.723,1,0.136,0.394,0.283,1
0.358,18,0.166,0.685,1,0.122,0.602,0.472,2
0.326,18,0.15,0.65,1,0.116,0.654,0.586,2
0.604,20,0.938,0.411,1,0.021,0.579,0.089,2
0.525,29,0.773,0.569,1,0.096,0.402,0.158,2
0.502,29,0.551,0.794,1,0.221,0.634,0.967,1
0.354,16,0.178,0.708,1,0,0.622,0.925,2
0.662,29,0.843,0.165,1,0.292,0.453,0.292,1
0.48,16,0.584,0.762,1,0.173,0.697,0.9,1
0.447,12,0.333,0.855,1,0.245,0.65,0.922,2
0.446,12,0.326,0.849,1,0.286,0.539,0.244,2
0.355,18,0.178,0.675,1,0.163,0.52,0.283,2
0.668,29,0.835,0.168,1,0.336,0.398,0.308,1
0.562,29,0.809,0.541,1,0.172,0.441,0.147,2
0.496,29,0.617,0.73,1,0.211,0.539,0.161,1
0.364,18,0.181,0.68,1,0.136,0.563,0.211,2
0.489,29,0.596,0.757,1,0.236,0.543,0.047,1
0.432,12,0.296,0.808,1,0.215,0.535,0.275,2
0.606,29,0.968,0.398,1,0.021,0.602,0,2
0.599,29,0.914,0.448,1,0.107,0.465,0.344,2
0.48,29,0.732,0.627,1,0.021,0.362,0.331,2
0.494,29,0.7,0.659,1,0.061,0.783,0.889,2
0.374,16,0.223,0.712,1,0.021,0.469,0.311,2
0.517,12,0.564,0.802,1,0.394,0.531,0.231,2
0.429,12,0.295,0.778,1,0.168,0.602,0.003,2
0.393,29,0.242,0.72,1,0.048,0.354,0.347,2
0.377,12,0.213,0.672,1,0.155,0.575,0.103,2
0.535,24,0.809,0.56,1,0,0.61,0.989,2
0.454,29,0.393,0.863,1,0.021,0.732,0.853,2
0.566,24,0.871,0.504,1,0.061,0.461,0.136,1
0.54,24,0.782,0.589,1,0.068,0.386,0.156,2
0.339,16,0.222,0.629,1,0,0.583,0.019,2
0.63,29,0.936,0.356,1,0.116,0.524,0.331,2
0.542,24,0.832,0.544,1,0.021,0.638,0.961,1
0.514,29,0.603,0.769,1,0.408,0.591,0.033,1
0.458,29,0.401,0.861,1,0.03,0.646,0.956,2
0.316,18,0.123,0.583,1,0.172,0.488,0.219,2
0.624,29,0.841,0.231,1,0.471,0.772,0.633,1
0.486,24,0.732,0.643,1,0.043,0.874,0.789,2
0.489,12,0.513,0.867,1,0.195,0.504,0.311,2
0.516,24,0.717,0.66,1,0.129,0.835,0.831,2
0.483,20,0.503,0.881,1,0.156,0.567,0.375,2
0.435,12,0.316,0.769,1,0.173,0.591,0.375,2
0.552,24,0.856,0.531,1,0.136,0.374,0.244,1
0.642,29,0.873,0.277,1,0.304,0.705,0.611,2
0.494,20,0.528,0.864,1,0.125,0.606,0.006,2
0.339,18,0.175,0.586,1,0.173,0.575,0.094,2
0.655,29,0.686,0.173,1,0.021,0.535,0.264,1
0.534,24,0.72,0.671,1,0.15,0.866,0.803,1
0.517,12,0.577,0.818,1,0.211,0.583,0.058,2
0.414,12,0.279,0.688,1,0.107,0.551,0.056,2
0.625,29,0.856,0.281,1,0.304,0.713,0.586,2
0.63,29,0.885,0.331,1,0.043,0.677,0.556,2
0.529,29,0.628,0.767,1,0.349,0.63,0.969,1
0.468,12,0.427,0.847,1,0.156,0.602,0.05,2
0.348,18,0.173,0.58,1,0.204,0.429,0.161,2
0.32,18,0.134,0.551,1,0.356,0.484,0.117,2
0.584,29,0.798,0.265,1,0.24,0.587,0.481,1
0.619,29,0.865,0.322,1,0.061,0.531,0.444,1
0.529,29,0.789,0.616,1,0.192,0.425,0.292,2
0.366,29,0.196,0.589,1,0.251,0.492,0.117,2
0.663,29,0.669,0.194,1,0.091,0.709,0.911,1
0.581,29,0.797,0.27,1,0.232,0.697,0.614,1
0.612,29,0.894,0.401,1,0.365,0.673,0.714,2
0.501,24,0.744,0.663,1,0.043,0.945,0.767,2
0.575,23,0.778,0.268,1,0.163,0.654,0.544,2
0.588,29,0.808,0.28,1,0.275,0.63,0.525,1
0.507,30,0.566,0.849,1,0.048,0.433,0.361,2
0.662,29,0.67,0.211,1,0.228,0.465,0.136,1
0.57,29,0.847,0.575,1,0.275,0.449,0.283,2
0.4,29,0.224,0.598,1,0.215,0.587,0.992,2
0.658,29,0.677,0.221,1,0.262,0.587,0.042,1
0.547,20,0.696,0.724,1,0.349,0.598,0.022,1
0.382,29,0.187,0.57,1,0.346,0.441,0.264,2
0.548,24,0.734,0.693,1,0.177,0.846,0.8,2
0.489,20,0.514,0.884,1,0.144,0.488,0.183,2
0.662,29,0.664,0.232,1,0.328,0.587,0.125,1
0.609,29,0.885,0.455,1,0.442,0.579,0.358,2
0.448,12,0.406,0.762,1,0.021,0.65,0.889,2
0.594,29,0.901,0.494,1,0.429,0.528,0.078,1
0.511,30,0.614,0.823,1,0.021,0.445,0.239,2
0.681,29,0.618,0.238,1,0.304,0.65,0.811,1
0.662,29,0.647,0.246,1,0.396,0.488,0.319,1
0.603,29,0.71,0.299,1,0.107,0.409,0.081,1
0.484,29,0.506,0.846,1,0.03,0.685,0.922,2
0.33,18,0.078,0.491,1,0.258,0.547,0.297,2
0.596,29,0.812,0.379,1,0.198,0.614,0.5,1
0.624,29,0.682,0.288,1,0.203,0.61,0.989,1
0.568,30,0.887,0.576,1,0.192,0.575,0.481,2
0.431,12,0.245,0.584,1,0.048,0.598,0.456,2
0.662,29,0.622,0.258,1,0.414,0.524,0.322,1
0.433,12,0.382,0.68,1,0.043,0.488,0.367,2
0.328,18,0.072,0.481,1,0.224,0.492,0.25,2
0.579,29,0.719,0.328,1,0.152,0.362,0.128,1
0.609,29,0.875,0.521,1,0.442,0.669,0.711,2
0.535,12,0.617,0.851,1,0.136,0.65,0.939,2
0.438,12,0.394,0.686,1,0.048,0.472,0.353,2
0.517,24,0.818,0.651,1,0.107,0.756,0.886,2
0.686,29,0.586,0.268,1,0.464,0.579,0.125,1
0.351,29,0.103,0.489,1,0.156,0.472,0.247,2
0.652,29,0.654,0.305,1,0.346,0.453,0.119,1
0.562,29,0.773,0.383,1,0.086,0.63,0.522,1
0.436,20,0.397,0.679,1,0,0.555,0.183,2
0.657,20,0.602,0.284,1,0.543,0.484,0.139,1
0.529,29,0.892,0.586,1,0.091,0.386,0.383,2
0.516,30,0.516,0.803,1,0.11,0.378,0.175,2
0.423,12,0.186,0.521,1,0.231,0.512,0.125,2
0.67,29,0.639,0.319,1,0.432,0.488,0.064,1
0.563,29,0.772,0.445,1,0.245,0.654,0.594,2
0.576,24,0.82,0.685,1,0.317,0.74,0.897,2
0.583,24,0.813,0.692,1,0.339,0.764,0.867,2
0.452,24,0.4,0.668,1,0.061,0.583,0.019,2
0.693,40,0.543,0.31,1,0.442,0.409,0.156,1
0.548,16,0.726,0.393,1,0.061,0.587,0.025,1
0.671,23,0.581,0.319,1,0.704,0.563,0.028,1
0.557,29,0.718,0.393,1,0.021,0.354,0.1,1
0.563,29,0.783,0.491,1,0.328,0.567,0.464,2
0.34,29,0.069,0.434,1,0.064,0.492,0.064,2
0.571,29,0.814,0.544,1,0.515,0.72,0.722,2
0.547,16,0.72,0.413,1,0.107,0.496,0.142,1
0.552,29,0.754,0.465,1,0.183,0.697,0.586,2
0.573,12,0.712,0.814,1,0.346,0.598,0,1
0.434,12,0.321,0.592,1,0.089,0.579,0.125,2
0.573,29,0.815,0.562,1,0.432,0.539,0.464,2
0.514,29,0.541,0.775,1,0.204,0.567,0.061,2
0.583,12,0.731,0.804,1,0.429,0.642,0.956,1
0.588,30,0.855,0.686,1,0.24,0.622,0.519,2
0.522,29,0.587,0.823,1,0.136,0.776,0.775,2
0.534,23,0.728,0.464,1,0.021,0.665,0.681,1
0.542,29,0.741,0.484,1,0.129,0.669,0.556,2
0.566,12,0.681,0.866,1,0.354,0.453,0.15,2
0.442,12,0.348,0.601,1,0.107,0.496,0.322,2
0.374,29,0.128,0.442,1,0.048,0.598,0.989,2
0.693,23,0.524,0.343,1,0.537,0.654,0.906,1
0.689,23,0.562,0.349,1,0.714,0.512,0.075,1
0.379,29,0.137,0.444,1,0.03,0.559,0.997,2
0.527,29,0.558,0.776,1,0.327,0.559,0.044,2
0.477,24,0.424,0.659,1,0.144,0.539,0.133,2
0.336,29,0.033,0.38,1,0.228,0.606,0.414,2
0.701,40,0.5,0.353,1,0.36,0.543,0.125,1
0.594,12,0.771,0.786,1,0.623,0.575,0.25,2
0.548,29,0.693,0.453,1,0.144,0.346,0.167,1
0.517,29,0.845,0.653,1,0.061,0.421,0.214,2
0.553,29,0.686,0.462,1,0.177,0.362,0.106,1
0.589,29,0.841,0.73,1,0.408,0.752,0.639,2
0.584,12,0.747,0.824,1,0.567,0.543,0.422,2
0.449,12,0.351,0.587,1,0.086,0.394,0.194,2
0.54,20,0.573,0.778,1,0.365,0.657,0.903,2
0.67,19,0.59,0.398,1,0.299,0.512,0.35,1
0.668,23,0.596,0.402,1,0.259,0.52,0.25,1
0.558,29,0.804,0.63,1,0.258,0.665,0.617,2
0.516,30,0.832,0.664,1,0.021,0.425,0.233,2
0.58,29,0.82,0.765,1,0.583,0.476,0.303,2
0.576,12,0.757,0.833,1,0.603,0.539,0.236,2
0.681,23,0.558,0.4,1,0.442,0.378,0.219,1
0.573,29,0.756,0.839,1,0.581,0.543,0.375,2
0.357,29,0.055,0.35,1,0.275,0.37,0.136,2
0.701,23,0.537,0.398,1,0.532,0.488,0.356,1
0.655,20,0.622,0.443,1,0.021,0.591,0.069,1
0.51,29,0.49,0.686,1,0.048,0.634,0.969,2
0.67,19,0.576,0.429,1,0.215,0.591,0.025,1
0.558,29,0.853,0.734,1,0.28,0.72,0.722,2
0.66,29,0.602,0.453,1,0,0.516,0.106,1
0.568,29,0.853,0.771,1,0.494,0.598,0.489,2
0.527,30,0.77,0.66,1,0.15,0.547,0.4,2
0.562,12,0.74,0.906,1,0.304,0.602,0.486,1
0.543,29,0.826,0.746,1,0.259,0.681,0.581,2
0.568,29,0.767,0.885,1,0.452,0.594,0.397,1
0.542,20,0.679,0.845,1,0,0.614,0,2
0.543,20,0.675,0.841,1,0,0.681,0.8,2
0.55,12,0.658,0.825,1,0.086,0.709,0.8,2
0.469,12,0.365,0.548,1,0.043,0.437,0.317,2
0.463,23,0.349,0.534,1,0.043,0.634,0.875,2
0.463,30,0.253,0.446,1,0.11,0.717,0.903,2
0.465,30,0.249,0.442,1,0.13,0.72,0.889,2
0.532,30,0.713,0.632,1,0.172,0.508,0.45,2
0.575,29,0.805,0.85,1,0.666,0.591,0.375,2
0.56,29,0.725,0.888,1,0.231,0.476,0.203,2
0.517,12,0.447,0.621,1,0.096,0.484,0.15,2
0.331,20,0.057,0.288,1,0.03,0.508,0.125,2
0.563,29,0.755,0.904,1,0.356,0.524,0.2,1
0.599,29,0.623,0.551,1,0.448,0.421,0.108,1
0.485,23,0.413,0.584,1,0.043,0.484,0.217,2
0.671,20,0.562,0.482,1,0,0.646,0.919,1
0.639,29,0.594,0.529,1,0.565,0.689,0.914,1
0.345,20,0.077,0.287,1,0.043,0.61,0.986,2
0.552,12,0.687,0.843,1,0.03,0.48,0.247,2
0.475,12,0.342,0.509,1,0.144,0.555,0.042,2
0.445,12,0.211,0.39,1,0.369,0.437,0.242,2
0.648,29,0.588,0.54,1,0.608,0.697,0.911,1
0.566,20,0.834,0.846,1,0.608,0.752,0.792,2
0.555,12,0.578,0.734,1,0.219,0.543,0.3,2
0.537,30,0.55,0.706,1,0.077,0.425,0.214,2
0.475,23,0.364,0.524,1,0.11,0.618,0.989,2
0.468,12,0.265,0.429,1,0.15,0.559,0.294,1
0.611,29,0.615,0.582,1,0.472,0.492,0.067,1
0.539,23,0.654,0.621,1,0.129,0.413,0.144,1
0.527,29,0.802,0.769,1,0.224,0.736,0.725,2
0.53,29,0.805,0.772,1,0.231,0.701,0.644,2
0.56,12,0.674,0.823,1,0.061,0.697,0.714,2
0.358,30,0.089,0.268,1,0.096,0.736,0.867,2
0.642,29,0.584,0.567,1,0.523,0.335,0.164,1
0.473,12,0.269,0.423,1,0.152,0.567,0.042,1
0.368,30,0.112,0.28,1,0.03,0.567,0.025,2
0.535,29,0.82,0.805,1,0.262,0.697,0.644,2
0.571,29,0.838,0.868,1,0.547,0.724,0.683,2
0.477,30,0.253,0.4,1,0.266,0.52,0.261,2
0.565,12,0.675,0.814,1,0.137,0.638,0.95,2
0.658,23,0.568,0.583,1,0.438,0.378,0.164,1
0.501,30,0.419,0.554,1,0.096,0.61,0,2
0.473,30,0.258,0.394,1,0.259,0.524,0.169,2
0.571,12,0.748,0.88,1,0.24,0.465,0.217,1
0.528,12,0.488,0.618,1,0.198,0.531,0.392,2
0.405,30,0.179,0.312,1,0.203,0.433,0.114,2
0.663,29,0.548,0.596,1,0.344,0.476,0.358,1
0.527,16,0.803,0.834,1,0.192,0.681,0.6,1
0.655,23,0.542,0.613,1,0.299,0.543,0.2,1
0.548,20,0.629,0.749,1,0.021,0.539,0.083,2
0.537,19,0.601,0.72,1,0.021,0.516,0.278,2
0.688,23,0.504,0.573,1,0.471,0.602,0,1
0.671,29,0.515,0.593,1,0.349,0.531,0.147,1
0.522,16,0.795,0.843,1,0.152,0.673,0.656,1
0.508,29,0.403,0.509,1,0.286,0.618,0.978,2
0.522,16,0.799,0.864,1,0.152,0.693,0.706,1
0.471,20,0.315,0.412,1,0,0.488,0.125,1
0.699,23,0.484,0.592,1,0.496,0.657,0.933,1
0.665,29,0.511,0.631,1,0.15,0.681,0.772,1
0.547,29,0.63,0.732,1,0.137,0.512,0.172,2
0.537,29,0.815,0.893,1,0.245,0.78,0.658,1
0.596,12,0.778,0.859,1,0.451,0.665,0.781,2
0.548,29,0.604,0.705,1,0.152,0.756,0.792,2
0.466,12,0.244,0.32,1,0.328,0.437,0.114,2
0.657,29,0.51,0.645,1,0.129,0.602,0.45,1
0.629,29,0.544,0.669,1,0.213,0.421,0.192,1
0.518,12,0.467,0.558,1,0.116,0.5,0.142,2
0.662,29,0.493,0.639,1,0.096,0.543,0.339,1
0.583,29,0.583,0.713,1,0.156,0.484,0.225,2
0.552,29,0.824,0.886,1,0.344,0.72,0.697,2
0.56,12,0.672,0.767,1,0.137,0.587,0.075,2
0.547,12,0.64,0.734,1,0.231,0.488,0.111,2
0.543,12,0.529,0.617,1,0.183,0.634,0.967,2
0.645,29,0.522,0.673,1,0.096,0.626,0.522,1
0.487,30,0.274,0.336,1,0.173,0.496,0.417,1
0.639,29,0.509,0.677,1,0.03,0.622,0.514,1
0.496,29,0.357,0.423,1,0.192,0.465,0.136,2
0.537,12,0.512,0.588,1,0.215,0.508,0.308,2
0.476,12,0.263,0.304,1,0.301,0.543,0.306,1
0.704,40,0.449,0.63,1,0.346,0.469,0.236,1
0.665,29,0.469,0.663,1,0.061,0.476,0.083,1
0.548,12,0.549,0.624,1,0.305,0.571,0.103,2
0.571,29,0.828,0.838,1,0.538,0.724,0.767,2
0.575,29,0.824,0.836,1,0.558,0.736,0.781,2
0.542,12,0.521,0.589,1,0.28,0.583,0.078,2
0.531,12,0.494,0.561,1,0.283,0.665,0.919,2
0.563,12,0.706,0.777,1,0.258,0.665,0.875,2
0.56,12,0.629,0.698,1,0.408,0.78,0.803,2
0.515,29,0.378,0.425,1,0.259,0.37,0.142,2
0.478,12,0.301,0.323,1,0.15,0.571,0.286,2
0.54,12,0.407,0.452,1,0.292,0.504,0.353,2
0.485,29,0.347,0.378,1,0.091,0.457,0.264,2
0.644,30,0.462,0.704,1,0.172,0.441,0.264,1
0.559,12,0.602,0.652,1,0.334,0.508,0.261,2
0.588,12,0.779,0.765,1,0.487,0.594,0.125,2
0.612,30,0.466,0.75,1,0.137,0.354,0.169,1
0.593,20,0.489,0.763,1,0.15,0.583,0.064,1
0.562,20,0.519,0.782,1,0.173,0.508,0.25,1
0.521,30,0.447,0.468,1,0.183,0.587,0.489,2
0.568,29,0.67,0.715,1,0.177,0.531,0.183,2
0.335,23,0.084,0.054,1,0.077,0.571,0.419,2
0.665,29,0.405,0.72,1,0.043,0.504,0.311,1
0.54,29,0.79,0.802,1,0.286,0.854,0.675,2
0.575,29,0.826,0.781,1,0.498,0.693,0.597,2
0.581,29,0.823,0.773,1,0.583,0.713,0.661,2
0.539,12,0.575,0.607,1,0.236,0.465,0.222,2
0.493,29,0.388,0.38,1,0.048,0.701,0.881,2
0.461,29,0.302,0.238,1,0.251,0.606,0.036,2
0.543,29,0.789,0.793,1,0.301,0.823,0.7,2
0.499,30,0.437,0.441,1,0.061,0.5,0.397,2
0.581,29,0.498,0.797,1,0.185,0.528,0.147,1
0.53,29,0.561,0.843,1,0.137,0.587,0.392,1
0.471,12,0.335,0.279,1,0.122,0.622,0.514,2
0.457,30,0.236,0.137,1,0.251,0.469,0.419,5
0.45,30,0.223,0.125,1,0.215,0.453,0.4,5
0.428,30,0.207,0.109,1,0.173,0.335,0.325,5
0.406,30,0.19,0.093,1,0.125,0.228,0.303,5
0.558,29,0.669,0.687,1,0.086,0.512,0.35,2
0.458,30,0.249,0.148,1,0.24,0.445,0.411,5
0.444,30,0.228,0.127,1,0.192,0.469,0.414,5
0.442,30,0.223,0.123,1,0.183,0.449,0.411,5
0.429,30,0.211,0.111,1,0.144,0.386,0.3,5
0.446,30,0.236,0.135,1,0.198,0.469,0.378,5
0.44,30,0.228,0.127,1,0.173,0.457,0.364,5
0.437,30,0.223,0.122,1,0.163,0.437,0.369,5
0.429,30,0.211,0.11,1,0.125,0.413,0.325,5
0.376,30,0.169,0.069,1,0.021,0.406,0.275,5
0.607,29,0.43,0.788,1,0,0.476,0.342,1
0.601,29,0.457,0.802,1,0.068,0.535,0.464,2
0.52,12,0.554,0.562,1,0.116,0.52,0.333,2
0.501,23,0.483,0.475,1,0.021,0.508,0.297,2
0.497,23,0.47,0.458,1,0,0.622,0.975,2
0.463,12,0.341,0.259,1,0.096,0.65,0.561,2
0.432,30,0.219,0.118,1,0.136,0.425,0.353,5
0.399,30,0.19,0.089,1,0.061,0.283,0.306,5
0.603,20,0.437,0.798,1,0.021,0.646,0.539,1
0.596,29,0.454,0.806,1,0.048,0.551,0.464,2
0.573,29,0.492,0.827,1,0.089,0.488,0.392,2
0.547,29,0.525,0.847,1,0.144,0.484,0.161,2
0.588,29,0.78,0.711,1,0.259,0.449,0.189,1
0.422,30,0.211,0.109,1,0.091,0.382,0.361,5
0.413,30,0.202,0.101,1,0.068,0.319,0.356,5
0.401,30,0.194,0.092,1,0.048,0.276,0.331,5
0.599,20,0.431,0.8,1,0,0.567,0.281,1
0.596,20,0.439,0.804,1,0.021,0.484,0.386,1
0.601,12,0.801,0.716,1,0.354,0.634,0.95,1
0.543,23,0.656,0.66,1,0,0.449,0.136,1
0.423,30,0.215,0.111,1,0.089,0.39,0.342,5
0.409,30,0.202,0.099,1,0.048,0.311,0.358,5
0.381,30,0.181,0.08,1,0,0.406,0.225,5
0.601,29,0.428,0.804,1,0.021,0.472,0.125,1
0.558,29,0.498,0.842,1,0.089,0.449,0.378,2
0.604,12,0.806,0.714,1,0.371,0.594,0.058,1
0.43,30,0.228,0.122,1,0.107,0.429,0.356,5
0.39,30,0.19,0.086,1,0,0.386,0.239,5
0.421,30,0.215,0.109,1,0.048,0.354,0.319,5
0.407,30,0.207,0.101,1,0.03,0.283,0.3,5
0.398,30,0.199,0.093,1,0,0.453,0.197,5
0.403,30,0.203,0.095,1,0,0.48,0.139,5
0.596,29,0.792,0.694,1,0.258,0.5,0.222,1
0.5,12,0.462,0.423,1,0.192,0.528,0.347,2
0.498,12,0.456,0.415,1,0.204,0.575,0.453,2
0.594,29,0.447,0.836,1,0.068,0.484,0.156,1
0.507,12,0.486,0.452,1,0.144,0.626,0.975,2
0.411,29,0.212,0.102,1,0,0.535,0.064,5
0.409,29,0.208,0.098,1,0.021,0.567,0.025,5
0.41,29,0.2,0.089,1,0.03,0.559,0.025,5
0.49,12,0.429,0.364,1,0.136,0.504,0.333,2
0.467,12,0.402,0.318,1,0.163,0.52,0.239,2
0.622,29,0.403,0.825,1,0.144,0.457,0.206,1
0.568,29,0.726,0.651,1,0.144,0.575,0.017,2
0.422,20,0.243,0.13,1,0,0.594,0.25,2
0.566,29,0.706,0.639,1,0.192,0.717,0.783,1
0.573,29,0.734,0.645,1,0.129,0.571,0.086,2
0.53,20,0.548,0.885,1,0.107,0.535,0.325,2
0.543,29,0.778,0.716,1,0.269,0.783,0.717,2
0.598,12,0.807,0.673,1,0.279,0.634,0.75,2
0.56,29,0.681,0.621,1,0.211,0.539,0.208,1
0.528,23,0.611,0.594,1,0,0.504,0.225,2
0.449,12,0.361,0.247,1,0.107,0.587,0.083,2
0.429,20,0.286,0.171,1,0,0.591,0.431,2
0.535,29,0.589,0.565,1,0.107,0.63,0.875,2
0.456,12,0.395,0.28,1,0.185,0.579,0.264,2
0.399,30,0.185,0.072,1,0.203,0.26,0.214,2
0.446,12,0.333,0.218,1,0.107,0.551,0.344,2
0.524,29,0.568,0.527,1,0.251,0.543,0.125,2
0.461,20,0.444,0.344,1,0.03,0.441,0.181,2
0.428,12,0.27,0.156,1,0.089,0.646,0.564,2
0.555,20,0.481,0.907,1,0.155,0.657,0.939,1
0.44,12,0.303,0.19,1,0.096,0.524,0.361,2
0.532,29,0.602,0.561,1,0.156,0.579,0.358,2
