"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Area_Of_Wilderness","Soil_Type","Cover_Type"
0.511,0.581,0.258,0.155,0.262,0.701,0.811,0.996,0.705,0.603,"W1","S30","C2"
0.455,0.317,0.348,0.137,0.329,0.469,0.992,0.823,0.28,0.833,"W1","S30","C5"
0.326,0.15,0.121,0.089,0.224,0.09,0.886,0.874,0.512,0.776,"W1","S18","C5"
0.324,0.061,0.136,0.086,0.242,0.103,0.846,0.87,0.563,0.772,"W1","S18","C5"
0.317,0.375,0.091,0,0.224,0.121,0.902,0.933,0.559,0.766,"W1","S18","C5"
0.315,0.453,0.152,0.021,0.218,0.119,0.906,0.957,0.571,0.765,"W1","S18","C5"
0.552,0.411,0.242,0.231,0.253,0.831,0.945,0.929,0.472,0.473,"W1","S29","C2"
0.476,0.375,0.015,0.152,0.262,0.516,0.866,0.937,0.606,0.787,"W1","S12","C2"
0.44,0.325,0.364,0.091,0.292,0.461,0.996,0.827,0.28,0.841,"W1","S30","C5"
0.422,0.339,0.455,0.048,0.258,0.448,1,0.791,0.205,0.854,"W1","S30","C5"
0.332,0.292,0.106,0.086,0.225,0.084,0.917,0.909,0.512,0.776,"W1","S18","C5"
0.33,0.283,0.091,0.089,0.229,0.087,0.906,0.917,0.539,0.775,"W1","S18","C5"
0.329,0.064,0.091,0.107,0.229,0.092,0.85,0.894,0.579,0.772,"W1","S18","C5"
0.328,0.114,0.136,0.116,0.229,0.096,0.87,0.866,0.524,0.771,"W1","S18","C5"
0.521,0.125,0.288,0.173,0.249,0.731,0.87,0.768,0.394,0.574,"W1","S29","C2"
0.425,0.347,0.424,0.048,0.253,0.453,0.996,0.815,0.24,0.85,"W1","S30","C5"
0.326,0.256,0.106,0.13,0.247,0.101,0.909,0.902,0.516,0.766,"W1","S18","C5"
0.445,0.272,0.455,0.089,0.292,0.466,0.992,0.72,0.142,0.837,"W1","S30","C5"
0.414,0.983,0.182,0,0.224,0.445,0.787,0.862,0.618,0.858,"W1","S30","C5"
0.42,0.964,0.045,0,0.224,0.295,0.839,0.921,0.626,0.955,"W1","S20","C1"
0.356,0.961,0.03,0,0.224,0.047,0.846,0.925,0.622,0.801,"W1","S29","C2"
0.337,0.197,0.136,0.107,0.22,0.081,0.906,0.878,0.496,0.774,"W1","S18","C5"
0.422,0.917,0.409,0.021,0.245,0.441,0.575,0.776,0.724,0.862,"W1","S16","C5"
0.41,0.356,0.076,0.068,0.253,0.233,0.902,0.929,0.555,0.913,"W1","S12","C2"
0.335,0.189,0.121,0.15,0.217,0.094,0.898,0.886,0.512,0.765,"W1","S18","C5"
0.333,0.261,0.106,0.152,0.218,0.096,0.913,0.902,0.512,0.763,"W1","S18","C5"
0.339,0.275,0.091,0.168,0.224,0.093,0.906,0.913,0.535,0.763,"W1","S18","C5"
0.32,0.183,0.091,0.068,0.233,0.126,0.894,0.894,0.531,0.747,"W1","S18","C5"
0.315,0.278,0.106,0.061,0.24,0.114,0.913,0.909,0.516,0.744,"W1","S18","C5"
0.427,0.325,0.455,0.043,0.245,0.463,1,0.78,0.189,0.842,"W1","S30","C5"
0.44,0.897,0.379,0.061,0.279,0.438,0.587,0.807,0.756,0.867,"W1","S29","C1"
0.419,0.2,0.03,0.021,0.224,0.46,0.874,0.921,0.587,0.846,"W1","S30","C1"
0.326,0.219,0.212,0.137,0.248,0.125,0.933,0.846,0.417,0.742,"W1","S18","C5"
0.322,0.225,0.106,0.125,0.238,0.128,0.906,0.894,0.508,0.741,"W1","S18","C5"
0.432,0.875,0.364,0.021,0.248,0.452,0.583,0.835,0.787,0.855,"W1","S16","C1"
0.321,0.206,0.167,0.136,0.235,0.131,0.917,0.862,0.457,0.736,"W1","S18","C5"
0.314,0.189,0.076,0.129,0.218,0.122,0.886,0.906,0.547,0.734,"W1","S18","C5"
0.315,0.031,0.061,0.125,0.24,0.118,0.85,0.913,0.602,0.732,"W1","S18","C5"
0.315,0.117,0.091,0.116,0.24,0.114,0.87,0.894,0.555,0.731,"W1","S18","C5"
0.316,0.208,0.076,0.096,0.245,0.114,0.894,0.906,0.539,0.727,"W1","S18","C5"
0.547,0.297,0.167,0.03,0.233,0.821,0.941,0.89,0.457,0.489,"W1","S29","C2"
0.423,0.25,0.121,0.096,0.252,0.284,0.913,0.898,0.508,0.922,"W1","S12","C2"
0.324,0.111,0.106,0.11,0.236,0.131,0.87,0.882,0.543,0.728,"W1","S18","C5"
0.321,0.136,0.212,0.107,0.258,0.122,0.886,0.827,0.457,0.726,"W1","S18","C5"
0.317,0.175,0.152,0.091,0.249,0.118,0.902,0.87,0.488,0.725,"W1","S18","C5"
0.325,0.164,0.106,0.096,0.236,0.126,0.89,0.89,0.528,0.723,"W1","S18","C5"
0.53,0.036,0.197,0.064,0.231,0.748,0.815,0.843,0.559,0.566,"W1","S29","C1"
0.441,0.15,0.091,0.156,0.278,0.321,0.882,0.894,0.543,0.932,"W1","S12","C2"
0.391,0.222,0.121,0.129,0.221,0.153,0.909,0.886,0.5,0.818,"W1","S29","C2"
0.492,0.461,0.182,0.173,0.292,0.623,0.906,0.961,0.567,0.691,"W1","S30","C2"
0.575,0.125,0.212,0.198,0.236,0.895,0.878,0.819,0.457,0.423,"W1","S29","C2"
0.517,0.317,0.242,0.077,0.262,0.712,0.965,0.878,0.402,0.605,"W1","S29","C2"
0.496,0.017,0.136,0,0.224,0.683,0.827,0.878,0.594,0.634,"W1","S16","C2"
0.385,0.083,0.152,0.172,0.248,0.135,0.854,0.858,0.535,0.787,"W1","S29","C2"
0.503,0.328,0.273,0.144,0.319,0.642,0.976,0.87,0.366,0.676,"W1","S30","C2"
0.484,0.444,0.424,0.096,0.307,0.555,0.925,0.917,0.425,0.763,"W1","S30","C2"
0.335,0.906,0.076,0.021,0.242,0.149,0.815,0.921,0.654,0.704,"W1","S16","C2"
0.475,0.275,0.106,0.273,0.346,0.437,0.917,0.906,0.512,0.884,"W1","S12","C1"
0.491,0.425,0.394,0.096,0.278,0.648,0.949,0.909,0.402,0.674,"W1","S30","C2"
0.468,0.219,0.152,0.38,0.348,0.419,0.917,0.878,0.476,0.906,"W1","S20","C1"
0.444,0.397,0.242,0.048,0.252,0.343,0.949,0.925,0.469,0.92,"W1","S12","C2"
0.494,0.978,0.394,0.107,0.329,0.519,0.654,0.736,0.598,0.808,"W1","S29","C1"
0.491,0.039,0.212,0.155,0.337,0.499,0.811,0.827,0.551,0.829,"W1","S12","C1"
0.339,0.117,0.106,0.15,0.245,0.159,0.874,0.882,0.539,0.686,"W1","S18","C2"
0.501,0.994,0.258,0.125,0.35,0.521,0.752,0.811,0.594,0.809,"W1","S29","C1"
0.48,0.922,0.394,0.021,0.245,0.636,0.594,0.776,0.713,0.694,"W1","S29","C2"
0.471,0.05,0.106,0.401,0.298,0.433,0.846,0.89,0.583,0.9,"W1","S12","C2"
0.466,0.175,0.152,0.299,0.286,0.413,0.902,0.87,0.488,0.921,"W1","S12","C2"
0.443,0.85,0.167,0.048,0.255,0.339,0.748,0.921,0.724,0.896,"W1","S29","C2"
0.328,0.283,0.091,0.195,0.217,0.152,0.906,0.917,0.539,0.671,"W1","S18","C2"
0.465,0.036,0.242,0.021,0.234,0.58,0.799,0.811,0.539,0.752,"W1","S29","C2"
0.352,0.983,0.182,0.048,0.235,0.149,0.787,0.858,0.614,0.701,"W1","S30","C2"
0.607,0.481,0.182,0.077,0.22,0.961,0.894,0.969,0.587,0.381,"W1","S29","C2"
0.56,0.197,0.152,0.305,0.333,0.807,0.909,0.87,0.476,0.529,"W1","S29","C2"
0.501,0.086,0.152,0.211,0.35,0.512,0.858,0.858,0.531,0.823,"W1","S12","C1"
0.604,0.456,0.167,0.061,0.233,0.957,0.906,0.957,0.567,0.387,"W1","S29","C2"
0.473,0.2,0.076,0.389,0.302,0.438,0.886,0.909,0.555,0.902,"W1","S12","C2"
0.352,0.164,0.045,0,0.224,0.157,0.87,0.917,0.583,0.71,"W1","S16","C2"
0.354,0.094,0.136,0.136,0.244,0.16,0.862,0.87,0.543,0.686,"W1","S18","C2"
0.57,0.125,0.121,0.251,0.244,0.821,0.878,0.874,0.528,0.519,"W1","S29","C2"
0.413,0.233,0.182,0.107,0.226,0.236,0.933,0.866,0.445,0.794,"W1","S29","C2"
0.409,0.117,0.167,0.107,0.217,0.23,0.874,0.85,0.504,0.788,"W1","S29","C2"
0.502,0.283,0.227,0.136,0.315,0.617,0.961,0.862,0.394,0.723,"W1","S29","C1"
0.358,0.472,0.076,0.122,0.253,0.166,0.882,0.953,0.602,0.685,"W1","S18","C2"
0.326,0.586,0.091,0.116,0.262,0.15,0.85,0.965,0.654,0.65,"W1","S18","C2"
0.604,0.089,0.061,0.021,0.221,0.938,0.862,0.906,0.579,0.411,"W1","S20","C2"
0.525,0.158,0.242,0.096,0.253,0.773,0.902,0.799,0.402,0.569,"W1","S29","C2"
0.502,0.967,0.212,0.221,0.339,0.551,0.76,0.85,0.634,0.794,"W1","S29","C1"
0.354,0.925,0.015,0,0.224,0.178,0.85,0.933,0.622,0.708,"W1","S16","C2"
0.662,0.292,0.167,0.292,0.266,0.843,0.945,0.89,0.453,0.165,"W1","S29","C1"
0.48,0.9,0.182,0.173,0.257,0.584,0.744,0.894,0.697,0.762,"W1","S16","C1"
0.447,0.922,0.091,0.245,0.255,0.333,0.815,0.917,0.65,0.855,"W1","S12","C2"
0.446,0.244,0.076,0.286,0.262,0.326,0.898,0.909,0.539,0.849,"W1","S12","C2"
0.355,0.283,0.106,0.163,0.247,0.178,0.913,0.909,0.52,0.675,"W1","S18","C2"
0.668,0.308,0.227,0.336,0.283,0.835,0.965,0.874,0.398,0.168,"W1","S29","C1"
0.562,0.147,0.212,0.172,0.305,0.809,0.894,0.823,0.441,0.541,"W1","S29","C2"
0.496,0.161,0.091,0.211,0.298,0.617,0.886,0.894,0.539,0.73,"W1","S29","C1"
0.364,0.211,0.061,0.136,0.262,0.181,0.886,0.913,0.563,0.68,"W1","S18","C2"
0.489,0.047,0.197,0.236,0.282,0.596,0.819,0.831,0.543,0.757,"W1","S29","C1"
0.432,0.275,0.091,0.215,0.267,0.296,0.906,0.913,0.535,0.808,"W1","S12","C2"
0.606,0,0.167,0.021,0.216,0.968,0.803,0.866,0.602,0.398,"W1","S29","C2"
0.599,0.344,0.182,0.107,0.292,0.914,0.945,0.909,0.465,0.448,"W1","S29","C2"
0.48,0.331,0.288,0.021,0.236,0.732,0.976,0.866,0.362,0.627,"W1","S29","C2"
0.494,0.889,0.5,0.061,0.274,0.7,0.472,0.748,0.783,0.659,"W1","S29","C2"
0.374,0.311,0.167,0.021,0.229,0.223,0.941,0.898,0.469,0.712,"W1","S16","C2"
0.517,0.231,0.091,0.394,0.354,0.564,0.902,0.906,0.531,0.802,"W1","S12","C2"
0.429,0.003,0.152,0.168,0.258,0.295,0.811,0.874,0.602,0.778,"W1","S12","C2"
0.393,0.347,0.303,0.048,0.256,0.242,0.98,0.87,0.354,0.72,"W1","S29","C2"
0.377,0.103,0.076,0.155,0.267,0.213,0.866,0.902,0.575,0.672,"W1","S12","C2"
0.535,0.989,0.182,0,0.224,0.809,0.791,0.862,0.61,0.56,"W1","S24","C2"
0.454,0.853,0.182,0.021,0.234,0.393,0.736,0.917,0.732,0.863,"W1","S29","C2"
0.566,0.136,0.197,0.061,0.224,0.871,0.886,0.831,0.461,0.504,"W1","S24","C1"
0.54,0.156,0.273,0.068,0.249,0.782,0.902,0.787,0.386,0.589,"W1","S24","C2"
0.339,0.019,0.182,0,0.224,0.222,0.807,0.85,0.583,0.629,"W1","S16","C2"
0.63,0.331,0.106,0.116,0.236,0.936,0.917,0.921,0.524,0.356,"W1","S29","C2"
0.542,0.961,0.182,0.021,0.227,0.832,0.776,0.87,0.638,0.544,"W1","S24","C1"
0.514,0.033,0.106,0.408,0.345,0.603,0.839,0.89,0.591,0.769,"W1","S29","C1"
0.458,0.956,0.197,0.03,0.233,0.401,0.764,0.862,0.646,0.861,"W1","S29","C2"
0.316,0.219,0.136,0.172,0.24,0.123,0.913,0.882,0.488,0.583,"W1","S18","C2"
0.624,0.633,0.273,0.471,0.363,0.841,0.752,1,0.772,0.231,"W1","S29","C1"
0.486,0.789,0.364,0.043,0.253,0.732,0.571,0.913,0.874,0.643,"W1","S24","C2"
0.489,0.311,0.121,0.195,0.244,0.513,0.925,0.909,0.504,0.867,"W1","S12","C2"
0.516,0.831,0.348,0.129,0.326,0.717,0.591,0.882,0.835,0.66,"W1","S24","C2"
0.483,0.375,0.076,0.156,0.231,0.503,0.894,0.937,0.567,0.881,"W1","S20","C2"
0.435,0.375,0.045,0.173,0.265,0.316,0.882,0.937,0.591,0.769,"W1","S12","C2"
0.552,0.244,0.242,0.136,0.253,0.856,0.953,0.835,0.374,0.531,"W1","S24","C1"
0.642,0.611,0.167,0.304,0.313,0.873,0.815,0.988,0.705,0.277,"W1","S29","C2"
0.494,0.006,0.091,0.125,0.236,0.528,0.835,0.902,0.606,0.864,"W1","S20","C2"
0.339,0.094,0.076,0.173,0.244,0.175,0.862,0.898,0.575,0.586,"W1","S18","C2"
0.655,0.264,0.091,0.021,0.224,0.686,0.902,0.909,0.535,0.173,"W1","S29","C1"
0.534,0.803,0.364,0.15,0.351,0.72,0.571,0.898,0.866,0.671,"W1","S24","C1"
0.517,0.058,0.091,0.211,0.27,0.577,0.85,0.894,0.583,0.818,"W1","S12","C2"
0.414,0.056,0.167,0.107,0.274,0.279,0.835,0.854,0.551,0.688,"W1","S12","C2"
0.625,0.586,0.258,0.304,0.295,0.856,0.803,1,0.713,0.281,"W1","S29","C2"
0.63,0.556,0.303,0.043,0.224,0.885,0.819,0.996,0.677,0.331,"W1","S29","C2"
0.529,0.969,0.152,0.349,0.27,0.628,0.795,0.878,0.63,0.767,"W1","S29","C1"
0.468,0.05,0.045,0.156,0.245,0.427,0.854,0.917,0.602,0.847,"W1","S12","C2"
0.348,0.161,0.212,0.204,0.248,0.173,0.906,0.823,0.429,0.58,"W1","S18","C2"
0.32,0.117,0.197,0.356,0.214,0.134,0.874,0.835,0.484,0.551,"W1","S18","C2"
0.584,0.481,0.167,0.24,0.278,0.798,0.894,0.965,0.587,0.265,"W1","S29","C1"
0.619,0.444,0.227,0.061,0.244,0.865,0.921,0.953,0.531,0.322,"W1","S29","C1"
0.529,0.292,0.197,0.192,0.339,0.789,0.953,0.878,0.425,0.616,"W1","S29","C2"
0.366,0.117,0.182,0.251,0.252,0.196,0.874,0.839,0.492,0.589,"W1","S29","C2"
0.663,0.911,0.242,0.091,0.24,0.669,0.701,0.862,0.709,0.194,"W1","S29","C1"
0.581,0.614,0.152,0.232,0.274,0.797,0.819,0.984,0.697,0.27,"W1","S29","C1"
0.612,0.714,0.061,0.365,0.191,0.894,0.823,0.953,0.673,0.401,"W1","S29","C2"
0.501,0.767,0.5,0.043,0.266,0.744,0.453,0.89,0.945,0.663,"W1","S24","C2"
0.575,0.544,0.227,0.163,0.249,0.778,0.846,0.988,0.654,0.268,"W1","S23","C2"
0.588,0.525,0.212,0.275,0.309,0.808,0.866,0.984,0.63,0.28,"W1","S29","C1"
0.507,0.361,0.242,0.048,0.244,0.566,0.961,0.906,0.433,0.849,"W1","S30","C2"
0.662,0.136,0.197,0.228,0.233,0.67,0.886,0.831,0.465,0.211,"W1","S29","C1"
0.57,0.283,0.182,0.275,0.428,0.847,0.941,0.886,0.449,0.575,"W1","S29","C2"
0.4,0.992,0.303,0.215,0.293,0.224,0.724,0.783,0.587,0.598,"W1","S29","C2"
0.658,0.042,0.106,0.262,0.342,0.677,0.843,0.89,0.587,0.221,"W1","S29","C1"
0.547,0.022,0.106,0.349,0.385,0.696,0.835,0.894,0.598,0.724,"W1","S20","C1"
0.382,0.264,0.182,0.346,0.274,0.187,0.941,0.874,0.441,0.57,"W1","S29","C2"
0.548,0.8,0.318,0.177,0.389,0.734,0.614,0.917,0.846,0.693,"W1","S24","C2"
0.489,0.183,0.136,0.144,0.253,0.514,0.902,0.87,0.488,0.884,"W1","S20","C2"
0.662,0.125,0.045,0.328,0.364,0.664,0.866,0.913,0.587,0.232,"W1","S29","C1"
0.609,0.358,0.045,0.442,0.279,0.885,0.886,0.933,0.579,0.455,"W1","S29","C2"
0.448,0.889,0.061,0.021,0.222,0.406,0.823,0.929,0.65,0.762,"W1","S12","C2"
0.594,0.078,0.167,0.429,0.24,0.901,0.85,0.846,0.528,0.494,"W1","S29","C1"
0.511,0.239,0.182,0.021,0.227,0.614,0.933,0.87,0.445,0.823,"W1","S30","C2"
0.681,0.811,0.045,0.304,0.287,0.618,0.835,0.937,0.65,0.238,"W1","S29","C1"
0.662,0.319,0.152,0.396,0.236,0.647,0.933,0.909,0.488,0.246,"W1","S29","C1"
0.603,0.081,0.364,0.107,0.283,0.71,0.803,0.717,0.409,0.299,"W1","S29","C1"
0.484,0.922,0.227,0.03,0.235,0.506,0.728,0.87,0.685,0.846,"W1","S29","C2"
0.33,0.297,0.076,0.258,0.274,0.078,0.902,0.921,0.547,0.491,"W1","S18","C2"
0.596,0.5,0.061,0.198,0.22,0.812,0.87,0.953,0.614,0.379,"W1","S29","C1"
0.624,0.989,0.182,0.203,0.339,0.682,0.791,0.862,0.61,0.288,"W1","S29","C1"
0.568,0.481,0.227,0.192,0.398,0.887,0.898,0.969,0.575,0.576,"W1","S30","C2"
0.431,0.456,0.061,0.048,0.221,0.245,0.882,0.949,0.598,0.584,"W1","S12","C2"
0.662,0.322,0.106,0.414,0.236,0.622,0.917,0.917,0.524,0.258,"W1","S29","C1"
0.433,0.367,0.167,0.043,0.221,0.382,0.937,0.921,0.488,0.68,"W1","S12","C2"
0.328,0.25,0.136,0.224,0.274,0.072,0.917,0.894,0.492,0.481,"W1","S18","C2"
0.579,0.128,0.333,0.152,0.291,0.719,0.87,0.74,0.362,0.328,"W1","S29","C1"
0.609,0.711,0.061,0.442,0.495,0.875,0.827,0.953,0.669,0.521,"W1","S29","C2"
0.535,0.939,0.121,0.136,0.274,0.617,0.795,0.898,0.65,0.851,"W1","S12","C2"
0.438,0.353,0.182,0.048,0.231,0.394,0.945,0.913,0.472,0.686,"W1","S12","C2"
0.517,0.886,0.303,0.107,0.279,0.818,0.646,0.854,0.756,0.651,"W1","S24","C2"
0.686,0.125,0.061,0.464,0.3,0.586,0.87,0.909,0.579,0.268,"W1","S29","C1"
0.351,0.247,0.152,0.156,0.267,0.103,0.925,0.882,0.472,0.489,"W1","S29","C2"
0.652,0.119,0.227,0.346,0.41,0.654,0.87,0.807,0.453,0.305,"W1","S29","C1"
0.562,0.522,0.212,0.086,0.221,0.773,0.866,0.984,0.63,0.383,"W1","S29","C1"
0.436,0.183,0.076,0,0.224,0.397,0.886,0.906,0.555,0.679,"W1","S20","C2"
0.657,0.139,0.167,0.543,0.224,0.602,0.886,0.846,0.484,0.284,"W1","S20","C1"
0.529,0.383,0.318,0.091,0.287,0.892,0.972,0.894,0.386,0.586,"W1","S29","C2"
0.516,0.175,0.258,0.11,0.269,0.516,0.917,0.795,0.378,0.803,"W1","S30","C2"
0.423,0.125,0.152,0.231,0.252,0.186,0.878,0.862,0.512,0.521,"W1","S12","C2"
0.67,0.064,0.273,0.432,0.456,0.639,0.815,0.787,0.488,0.319,"W1","S29","C1"
0.563,0.594,0.076,0.245,0.305,0.772,0.846,0.965,0.654,0.445,"W1","S29","C2"
0.576,0.897,0.318,0.317,0.432,0.82,0.646,0.843,0.74,0.685,"W1","S24","C2"
0.583,0.867,0.273,0.339,0.452,0.813,0.665,0.882,0.764,0.692,"W1","S24","C2"
0.452,0.019,0.182,0.061,0.245,0.4,0.807,0.85,0.583,0.668,"W1","S24","C2"
0.693,0.156,0.242,0.442,0.322,0.543,0.902,0.803,0.409,0.31,"W1","S40","C1"
0.548,0.025,0.152,0.061,0.236,0.726,0.823,0.87,0.587,0.393,"W1","S16","C1"
0.671,0.028,0.197,0.704,0.456,0.581,0.807,0.839,0.563,0.319,"W1","S23","C1"
0.557,0.1,0.379,0.021,0.224,0.718,0.823,0.693,0.354,0.393,"W1","S29","C1"
0.563,0.464,0.197,0.328,0.309,0.783,0.906,0.961,0.567,0.491,"W1","S29","C2"
0.34,0.064,0.258,0.064,0.243,0.069,0.815,0.791,0.492,0.434,"W1","S29","C2"
0.571,0.722,0.121,0.515,0.397,0.814,0.787,0.965,0.72,0.544,"W1","S29","C2"
0.547,0.142,0.152,0.107,0.244,0.72,0.886,0.858,0.496,0.413,"W1","S16","C1"
0.552,0.586,0.197,0.183,0.279,0.754,0.823,0.992,0.697,0.465,"W1","S29","C2"
0.573,0,0.182,0.346,0.333,0.712,0.795,0.854,0.598,0.814,"W1","S12","C1"
0.434,0.125,0.061,0.089,0.251,0.321,0.87,0.909,0.579,0.592,"W1","S12","C2"
0.573,0.464,0.258,0.432,0.401,0.815,0.913,0.961,0.539,0.562,"W1","S29","C2"
0.514,0.061,0.121,0.204,0.264,0.541,0.846,0.874,0.567,0.775,"W1","S29","C2"
0.583,0.956,0.121,0.429,0.359,0.731,0.799,0.894,0.642,0.804,"W1","S12","C1"
0.588,0.519,0.212,0.24,0.415,0.855,0.87,0.98,0.622,0.686,"W1","S30","C2"
0.522,0.775,0.197,0.136,0.257,0.587,0.724,0.949,0.776,0.823,"W1","S29","C2"
0.534,0.681,0.061,0.021,0.233,0.728,0.835,0.957,0.665,0.464,"W1","S23","C1"
0.542,0.556,0.242,0.129,0.253,0.741,0.835,0.992,0.669,0.484,"W1","S29","C2"
0.566,0.15,0.197,0.354,0.307,0.681,0.894,0.831,0.453,0.866,"W1","S12","C2"
0.442,0.322,0.136,0.107,0.251,0.348,0.929,0.909,0.496,0.601,"W1","S12","C2"
0.374,0.989,0.273,0.048,0.257,0.128,0.74,0.807,0.598,0.442,"W1","S29","C2"
0.693,0.906,0.076,0.537,0.292,0.524,0.815,0.921,0.654,0.343,"W1","S23","C1"
0.689,0.075,0.212,0.714,0.27,0.562,0.839,0.827,0.512,0.349,"W1","S23","C1"
0.379,0.997,0.364,0.03,0.243,0.137,0.693,0.736,0.559,0.444,"W1","S29","C2"
0.527,0.044,0.167,0.327,0.298,0.558,0.831,0.854,0.559,0.776,"W1","S29","C2"
0.477,0.133,0.106,0.144,0.269,0.424,0.878,0.886,0.539,0.659,"W1","S24","C2"
0.336,0.414,0.015,0.228,0.289,0.033,0.87,0.937,0.606,0.38,"W1","S29","C2"
0.701,0.125,0.106,0.36,0.313,0.5,0.874,0.886,0.543,0.353,"W1","S40","C1"
0.594,0.25,0.045,0.623,0.389,0.771,0.882,0.921,0.575,0.786,"W1","S12","C2"
0.548,0.167,0.303,0.144,0.266,0.693,0.909,0.768,0.346,0.453,"W1","S29","C1"
0.517,0.214,0.197,0.061,0.233,0.845,0.929,0.846,0.421,0.653,"W1","S29","C2"
0.553,0.106,0.364,0.177,0.287,0.686,0.835,0.713,0.362,0.462,"W1","S29","C1"
0.589,0.639,0.227,0.408,0.419,0.841,0.772,0.992,0.752,0.73,"W1","S29","C2"
0.584,0.422,0.152,0.567,0.363,0.747,0.917,0.945,0.543,0.824,"W1","S12","C2"
0.449,0.194,0.242,0.086,0.269,0.351,0.925,0.819,0.394,0.587,"W1","S12","C2"
0.54,0.903,0.091,0.365,0.304,0.573,0.811,0.921,0.657,0.778,"W1","S20","C2"
0.67,0.35,0.136,0.299,0.253,0.59,0.925,0.921,0.512,0.398,"W1","S19","C1"
0.668,0.25,0.106,0.259,0.249,0.596,0.909,0.902,0.52,0.402,"W1","S23","C1"
0.558,0.617,0.091,0.258,0.339,0.804,0.839,0.965,0.665,0.63,"W1","S29","C2"
0.516,0.233,0.197,0.021,0.229,0.832,0.937,0.858,0.425,0.664,"W1","S30","C2"
0.58,0.303,0.152,0.583,0.394,0.82,0.937,0.902,0.476,0.765,"W1","S29","C2"
0.576,0.236,0.076,0.603,0.333,0.757,0.898,0.909,0.539,0.833,"W1","S12","C2"
0.681,0.219,0.242,0.442,0.249,0.558,0.941,0.827,0.378,0.4,"W1","S23","C1"
0.573,0.375,0.106,0.581,0.324,0.756,0.909,0.933,0.543,0.839,"W1","S29","C2"
0.357,0.136,0.303,0.275,0.292,0.055,0.882,0.756,0.37,0.35,"W1","S29","C2"
0.701,0.356,0.167,0.532,0.283,0.537,0.937,0.917,0.488,0.398,"W1","S23","C1"
0.655,0.069,0.061,0.021,0.224,0.622,0.858,0.909,0.591,0.443,"W1","S20","C1"
0.51,0.969,0.182,0.048,0.224,0.49,0.78,0.866,0.634,0.686,"W1","S29","C2"
0.67,0.025,0.121,0.215,0.253,0.576,0.831,0.882,0.591,0.429,"W1","S19","C1"
0.558,0.722,0.121,0.28,0.309,0.853,0.787,0.965,0.72,0.734,"W1","S29","C2"
0.66,0.106,0.152,0,0.224,0.602,0.866,0.854,0.516,0.453,"W1","S29","C1"
0.568,0.489,0.152,0.494,0.335,0.853,0.89,0.969,0.598,0.771,"W1","S29","C2"
0.527,0.4,0.121,0.15,0.249,0.77,0.913,0.941,0.547,0.66,"W1","S30","C2"
0.562,0.486,0.136,0.304,0.296,0.74,0.886,0.965,0.602,0.906,"W1","S12","C1"
